title,url,source,pub_date,snippet,query,full_text,summary,keywords,jsonld_name,jsonld_date,jsonld_address,og_description
Taco Bell Cantina sets opening date in Arden Fair,https://www.bizjournals.com/sacramento/news/2026/06/25/taco-bell-cantina-opening-date-arden-fair.html,Sacramento Business Journal,7 hours ago,"""As consumer expectations continue to evolve, unique food and beverage concepts like Taco Bell Cantina help create a more dynamic and engaging environment, and we look forward to seeing guests experience this exciting new addition to the center.""

Taco Bell Corp. also confirmed in an email that the cantina is opening in the Sacramento mall on July 8 with a grand opening on July 11. Taco Bell is owned by Louisville, Kentucky-based Yum Brands Inc. …",restaurant opening,,,,,,,
Banzito's Tacos opening brick-and-mortar location in Old Town Auburn,https://www.bizjournals.com/sacramento/news/2026/06/25/banzitos-tacos-auburn.html,Sacramento Business Journal,7 hours ago,"Honestly, we just fell in love with the area and we're very excited to show what we can bring."" 

Saldaña said he hopes to open his restaurant this fall. He said they are still deciding whether to continue selling from the food truck after the restaurant is open.…",restaurant opening,"Preview this article 1 min
After years of selling tacos at pop-up events and from a food truck, Banzito's Tacos has chosen Old Town Auburn for its first brick-and-mortar shop.
Preview this article 1 min
After years of selling tacos at pop-up events and from a food truck, Banzito's Tacos has chosen Old Town Auburn for its first brick-and-mortar shop.",,,Banzito's Tacos opening brick-and-mortar location in Old Town Auburn,2026-06-25T17:11:00-04:00,,
Kansas City bar owner plants Denver location in former brewery space,https://www.bizjournals.com/denver/news/2026/06/25/something-good-denver-regis-neighborhood.html,Denver Business Journal,8 hours ago,"The owner of a popular bar in downtown Kansas City, Missouri, is planting its sister location in Denver’s Regis neighborhood.

Something Good, a cocktail bar and restaurant that describes its vibe as hanging in your best friend’s dad’s basement or garage, is opening its second location at the former home of Goldspot Brewing, a decade-old brewery that closed in 2025. …",restaurant opening,,,,,,,
How a St. Paul mom turned one Keys Cafe into an eight-location family chain spanning 50 years,https://www.bizjournals.com/twincities/news/2026/06/25/barbara-hunn-founded-keys-cafe-twin-cities.html,Minneapolis / St. Paul Business Journal,8 hours ago,"Prior to taking ownership in 2025 when Celine retired, Costello had managed the restaurant since 2009.

""It's a huge opportunity to take on,"" Costello said. ""I purchased a restaurant that was hitting it out of the park. …",restaurant opening,"Preview this article 1 min
Barbara Hunn opened the first Keys Cafe in 1973 with little experience. Now her four children and a grandchild own eight Twin Cities locations.
Preview this article 1 min
Barbara Hunn opened the first Keys Cafe in 1973 with little experience. Now her four children and a grandchild own eight Twin Cities locations.
2026 Fast 50
The Minneapolis/St. Paul Business Journal is seeking nominations for our 30th annual Fast 50 awards, recognizing the Twin Cities fastest-growing private companies.",,,How a St. Paul mom turned one Keys Cafe into an eight-location family chain spanning 50 years,2026-06-25T16:59:00-04:00,,
"First look: See inside Level99, the adult gaming venue set to open at Disney Springs",https://www.bizjournals.com/orlando/news/2026/06/25/level99-gaming-venue-disney-springs-opening-photos.html,Orlando Business Journal,8 hours ago,"It released the report in May, analyzing the number of new escape rooms, trampoline parks, arcade bars, art museums and virtual reality experiences opening across the United States and Canada.

The brokerage firm found that across North America, there are 16.5 million square feet of this type of tenant in the development pipeline — representing 721 locations being built.



…",restaurant opening,,,,,,,
Chicago sports parlor The Vig sets opening date at The Couture in Milwaukee,https://www.bizjournals.com/milwaukee/news/2026/06/25/the-vig-sets-september-opening-the-couture.html,Milwaukee Business Journal,9 hours ago,"A Chicago-based “sports parlor” has set a Sept. 4 opening date for its Milwaukee debut, with The Vig planning to feature a late-night menu, classic cocktails and lakefront views when it opens in its second-floor home inside The Couture.

…",restaurant opening,,,,,,,
Local culinary duo tapped to lead new concept in Southtown,https://www.bizjournals.com/sanantonio/news/2026/06/25/culinary-program-food-beverage-social-club-menu.html,San Antonio Business Journal,9 hours ago,"Their spaces are welcoming and comfortable, but the food is always exceptional,"" she said in a prepared statement. 

Details on membership, programming and an opening date will be announced in the coming months.…",restaurant opening,,,,,,,
Minnesota Hockey Hall of Fame project delayed as city extends land deal,https://www.bizjournals.com/twincities/news/2026/06/25/minnesota-hockey-hall-of-fame-delay.html,Minneapolis / St. Paul Business Journal,10 hours ago,"Current plans for the Hall of Fame include:

30,000-square-foot museum with a Great Hall and five exhibit wings
State-of-the-art ice rink
20,000-square-foot performance venue
Hockey-themed restaurant and taproom
Multiple event and community gathering spaces


M.A. Mortenson Co. and Greiner Construction have been hired to do the general contracting work on the project.…",restaurant opening,"Preview this article 1 min
The $70 million project failed to win $25 million in state support. Organizers are targeting private donations, including naming rights for the facility.
Preview this article 1 min
The $70 million project failed to win $25 million in state support. Organizers are targeting private donations, including naming rights for the facility.
MSPBJ Forum: Why Twin Cities
Why do professionals relocate to the Twin Cities? Why do they stay? And why does our regional economy need more people like them?",,,Minnesota Hockey Hall of Fame project delayed as city extends land deal,2026-06-25T14:44:00-04:00,,
Latin restaurant and social club to replace Lure in Midtown,https://www.bizjournals.com/atlanta/news/2026/06/25/botanico-cocina-replacing-lure-midtown.html,Atlanta Business Chronicle,10 hours ago,"The restaurant had been listed for sale at a price of $550,000.…",restaurant opening,"Preview this article 1 min
One year after the seafood spot shuttered in Midtown, something new will open at the space.
Preview this article 1 min
One year after the seafood spot shuttered in Midtown, something new will open at the space.
2026 Best Places to Work + Healthiest Employers Awards
Join us as we reveal the rankings of the 2026 Best Places to Work and Healthiest Employers. We're combining two powerhouse events honoring Atlanta's top companies into one BIG celebration.
2026 Deals of the Year Awards
Atlanta Business Chronicle and ACG Atlanta are proud to present the 2026 Deals of the Year Awards, honoring the most significant transactions shaping the region - and the dealmakers, advisors, investors, and executives whose vision and expertise made them possible.",,,Latin restaurant and social club to replace Lure in Midtown,2026-06-25T14:23:00-04:00,,
How Bill the Barber beats the odds at 48-year-old Seven Locks Barbershop,https://www.bizjournals.com/washington/news/2026/06/25/seven-locks-barbershop-bill-stayeas.html,Washington Business Journal,11 hours ago,"At one point, Stayeas even set out to expand his enterprise, buying the building at 248 Main St. in Gaithersburg’s Kentlands neighborhood and opening a second barbershop. A couple years in, he decided to sell that shop; it still operates today and he continues to own the building, he says. …",restaurant opening,"Preview this article 1 min
Long-term client or walk-in, it doesn't matter: “Be nice to the customers, help them, smile at them, bring them in, make them feel comfortable — that’s the key thing.”
Preview this article 1 min
Long-term client or walk-in, it doesn't matter: “Be nice to the customers, help them, smile at them, bring them in, make them feel comfortable — that’s the key thing.”",,,How Bill the Barber beats the odds at 48-year-old Seven Locks Barbershop,2026-06-25T13:20:00-04:00,,
Chef Johnny Curiel bets on new Cherry Creek cantina after Spanish restaurant fell short,https://www.bizjournals.com/denver/news/2026/06/25/johnny-curiel-tequiler-a-alte-o-mar-bella-boqueria.html,Denver Business Journal,14 hours ago,"Months after opening his first Spanish-influenced restaurant in Cherry Creek, Johnny Curiel is replacing it with a tequila-focused Mexican cantina pop-up

His original idea for the space failed to perform as he hoped and drifted from his original goals, he said.

…",restaurant opening,,,,,,,
Brazilian-owned burger chain expands to Avalon Park with plans for 30 locations,https://www.bizjournals.com/orlando/news/2026/06/25/avalon-park-food-hall-burger-restaurant-brazil.html,Orlando Business Journal,16 hours ago,"The Brave Burger, an American hamburger concept with a Brazilian twist, is opening in a food hall in the rapidly developing downtown Avalon Park later this summer.

The chain restaurant was founded by Brazilian entrepreneur Sergio Bosco and is known for its made-to-order burgers with high-quality ingredients. …",restaurant opening,"Preview this article 1 min
A Brazilian entrepreneur is bringing their burger concept to a food hall in the rapidly developing downtown Avalon Park later.
Preview this article 1 min
A Brazilian entrepreneur is bringing their burger concept to a food hall in the rapidly developing downtown Avalon Park later.
2026 Best Places to Work
Where Workplace Excellence Meets High Stakes. Join us August 19 for a casino-themed celebration of the region's Best Places to Work as surveyed by their employees. Take a chance and celebrate with us!",,,Brazilian-owned burger chain expands to Avalon Park with plans for 30 locations,2026-06-25T09:00:00-04:00,,
Escapology locks in Brookfield location as part of three-store Milwaukee-area growth plan,https://www.bizjournals.com/milwaukee/news/2026/06/25/escapology-expansion-brookfield.html,Milwaukee Business Journal,17 hours ago,"Benson said Escapology should complement neighboring businesses such as Kopp's Frozen Custard and sports bar and restaurant Bullwinkles at the Galleria.

""I think we'll work good together there,"" he said. ""It's a good spot and a good location.""

The Brookfield and Third Ward locations are part of a multi-unit agreement that requires Benson to open three Escapology venues within three years. 

…",restaurant opening,"Preview this article 1 min
After securing locations in Milwaukee's Third Ward and Brookfield, Escapology's local franchise owner is already evaluating where a third Milwaukee-area venue could go.
Preview this article 1 min
After securing locations in Milwaukee's Third Ward and Brookfield, Escapology's local franchise owner is already evaluating where a third Milwaukee-area venue could go.
Women of Influence Awards
Milwaukee Business Journal celebrates 25 women who have grown their businesses, created products, inspired future generations and made Southeast Wisconsin a better place at our annual Women of Influence Awards.
C-Suite Stars & Executive of the Year - 2026
The Milwaukee Business Journal is accepting nominations for its C-Suite Stars and Executive of the Year awards, which recognize the work of corporate leaders in a range of functions.",,,Escapology locks in Brookfield location as part of three-store Milwaukee-area growth plan,2026-06-25T07:43:00-04:00,,
