city,title,date,link,image
Austin,Malina Flowers coming soon to Cedar Park,2h ago,https://communityimpact.com/cedar-park/business/malina-flowers-coming-soon-to-cedar-park/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F09%2F14%2Fc287bbad0152b06cc2d35be5a677a7ed75b7f7cb9dc3c0fbf5e78ace0772765a.jpg&w=1920&q=75
Austin,From reopened favorites to new outlet mall stops: Check out 5 San Marcos business updates,4h ago,https://communityimpact.com/san-marcos-buda-kyle/business/from-reopened-favorites-to-new-outlet-mall-stops-check-out-5-san-marcos-business-updates/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F20%2F437705.JPG&w=1920&q=75
Austin,Handcrafted sushi spot opens in New Braunfels,9h ago,https://communityimpact.com/new-braunfels/business/handcrafted-sushi-spot-opens-in-new-braunfels/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F09%2F11%2F476571eef81b2884884e02b35191928e1869eec42934896bbc256a732c5bdee4.jpg&w=1920&q=75
Austin,"Coffee, candy, theme parks: 14 Southwest Austin business updates",13h ago,https://communityimpact.com/southwest-austin-dripping-springs/business/coffee-candy-theme-parks-15-southwest-austin-business-updates/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F24%2F438003.jpg&w=1920&q=75
Austin,Wild Birds Unlimited to open new location in Georgetown,13h ago,https://communityimpact.com/georgetown/business/wild-birds-unlimited-to-open-new-location-in-georgetown/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F09%2F14%2Ffe48a08f1604df7011bdd1a80d2f85f768842f22bb2a14592374aaf52b82c8e9.jpg&w=1920&q=75
Austin,Vintage fashion & facials: 5 Bastrop County business updates to know,1d ago,https://communityimpact.com/bastrop-cedar-creek/business/vintage-fashion-facials-6-bastrop-county-business-updates-to-know/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F09%2F13%2F57f5f5a281cf366b84fc05c682ece2ebff02e57f72966ded7443c8b3b752def4.jpg&w=1920&q=75
Dallas - Fort Worth,"Super-Sod selling sod, grass seed in north Fort Worth",2h ago,https://communityimpact.com/keller-roanoke-northeast-fort-worth/business/super-sod-selling-sod-grass-seed-in-north-fort-worth/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F09%2F14%2Fc66f75f7c6c87b0095a10081f11518545ecf5dcd9777d72222101ee39b517d55.jpg&w=1920&q=75
Dallas - Fort Worth,Pokeworks celebrates 5 years of business in Southlake,3h ago,https://communityimpact.com/grapevine-colleyville-southlake/business/pokeworks-celebrates-5-years-of-business-in-southlake/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F09%2F11%2Fcb7ff13dbaa0f4801ac7fe071703975f218ba6ade248eecdeab0a81537afd2a6.jpg&w=1920&q=75
Dallas - Fort Worth,Texas Regional Bank building nears completion in Frisco,4h ago,https://communityimpact.com/frisco/business/texas-regional-bank-building-nears-completion-in-frisco/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F01%2F22%2F405836.jpg&w=1920&q=75
Dallas - Fort Worth,Pilates studio inLIFE Wellness sets updated opening date near Richardson,4h ago,https://communityimpact.com/richardson/business/pilates-studio-inlife-wellness-sets-updated-opening-date-near-richardson/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F06%2F22%2F429619.jpg&w=1920&q=75
Dallas - Fort Worth,"The Happy Blend to offer smoothies, matcha in Allen",7h ago,https://communityimpact.com/allen/business/the-happy-blend-to-offer-smoothies-matcha-in-allen/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F09%2F14%2F86bd6f99d9f9ecb4eee87f5ffc1ea1ff36c4e6d1507e65225c93969f480ed8f2.jpg&w=1920&q=75
Dallas - Fort Worth,Valhallan Esports Training arena offers competitive gaming experience in McKinney,10h ago,https://communityimpact.com/mckinney/business/valhallan-esports-training-arena-offers-competitive-gaming-experience-in-mckinney/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F09%2F11%2Fe3d86b7385f7ca13605f964062a4fc229797e7bbbc029d8ef839d7f571cbdfb1.jpg&w=1920&q=75
Houston,BarkSuds now open in Tomball,4h ago,https://communityimpact.com/tomball-magnolia/business/barksuds-now-open-in-tomball/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F09%2F14%2Fe812492b7c71f5aadb732ab7418f3bac6488c729d59cccf040dfadda2d8bf4c7.jpg&w=1920&q=75
Houston,Sprouts Farmers Market now open in The Woodlands,4h ago,https://communityimpact.com/the-woodlands/business/sprouts-farmers-market-now-open-in-the-woodlands/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fwpengine%2Fuploads%2F2015%2F06%2FSWA-06-2015-HCD-34.jpg&w=1920&q=75
Houston,Chama Gaúcha Brazilian Steakhouse opens 2nd Greater Houston location in Katy,4h ago,https://communityimpact.com/katy-fulshear/business/chama-ga-cha-brazilian-steakhouse-opens-2nd-greater-houston-location-in-katy/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F09%2F14%2F0d5443e4715afc0f704485eebe9931829c9a34e3d467cdb76c01a6781e67499c.png&w=1920&q=75
Houston,Redbird & Co. Salon Suites opening soon,19h ago,https://communityimpact.com/tomball-magnolia/business/redbird-co-salon-suites-opening-soon/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F09%2F11%2Fa9140efddd6e31e90cc398ce70b26b5b107f0005ea81a55354dfce2a17221b29.jpg&w=1920&q=75
Houston,"Japanese eatery, gym among 9 projects filed in Sugar Land",3d ago,https://communityimpact.com/sugar-land-missouri-city/business/japanese-eatery-gym-among-9-projects-filed-in-sugar-land/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F09%2F11%2F74dda177403f82f837fb8beb342f4c75a49fc8801859674e6e41e9fe4033f335.png&w=1920&q=75
Houston,ALEOLI Me Time Studio offers services for moms,3d ago,https://communityimpact.com/katy-fulshear/business/aleoli-me-time-studio-offers-services-for-moms/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F09%2F11%2F7e920405bedfe7b78a6ec5718af4834352e2263423d578320e8b44f04875697c.png&w=1920&q=75
San Antonio,Feliz Modern now open in the San Antonio International Airport,"June 22, 2026",https://communityimpact.com/san-antonio/business/feliz-modern-now-open-in-the-san-antonio-international-airport/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F06%2F22%2F429681.jpg&w=1920&q=75
San Antonio,James Avery Artisan Jewelry now open in Schertz Station,"June 19, 2026",https://communityimpact.com/san-antonio/business/james-avery-artisan-jewelry-now-open-in-schertz-station/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F06%2F19%2F429448.jpg&w=1920&q=75
San Antonio,Arnold & Mane hair salon now open in New Braunfels,"April 30, 2026",https://communityimpact.com/san-antonio/austin/arnold-mane-hair-salon-now-open-in-new-braunfels/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F04%2F30%2F418300.jpeg&w=1920&q=75
San Antonio,Roundup: 3 updates from San Antonio businesses in March,"April 8, 2026",https://communityimpact.com/san-antonio/business/roundup-3-updates-from-san-antonio-businesses-in-march/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F02%2F11%2F408950.jpg&w=1920&q=75
San Antonio,Curator Coffee celebrates 5 years serving North San Antonio,"April 8, 2026",https://communityimpact.com/san-antonio/business/curator-coffee-celebrates-5-years-serving-north-san-antonio/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F04%2F07%2F418302.jpg&w=1920&q=75
San Antonio,New family-owned pizza shop opens in North San Antonio,"April 7, 2026",https://communityimpact.com/san-antonio/business/new-family-owned-pizza-shop-opens-in-north-san-antonio/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F04%2F07%2F417637.jpg&w=1920&q=75
Bryan - College Station,"New coffee lounge, antique mall to open in Bryan",7h ago,https://communityimpact.com/bryan-college-station/business/new-coffee-lounge-antique-mall-to-open-in-bryan/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F09%2F14%2Fd373091066231c912c53d271ad3949d8056693310eda29490804e46e0b48f561.jpg&w=1920&q=75
Bryan - College Station,Liberty Hearing Center celebrates grand opening in College Station,6d ago,https://communityimpact.com/bryan-college-station/business/liberty-hearing-center-celebrates-grand-opening-in-college-station/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F09%2F08%2F439773.png&w=1920&q=75
Bryan - College Station,College Station Dave & Buster's announces fall opening date,"September 1, 2026",https://communityimpact.com/bryan-college-station/business/college-station-dave-busters-announces-fall-opening-date/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F09%2F01%2F439003.jpg&w=1920&q=75
Bryan - College Station,College Station mall to host new 'southern charm’ boutique,"August 31, 2026",https://communityimpact.com/bryan-college-station/business/college-station-mall-to-host-new-southern-charm-boutique/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F31%2F438884.png&w=1920&q=75
Bryan - College Station,College Station nail salon reopens under new management,"August 24, 2026",https://communityimpact.com/bryan-college-station/business/college-station-nail-salon-reopens-under-new-management/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F24%2F437985.png&w=1920&q=75
Bryan - College Station,Bryan Lucky Goat Coffee opens with large community turnout,"August 20, 2026",https://communityimpact.com/bryan-college-station/business/bryan-lucky-goat-coffee-opens-with-large-community-turnout/,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F20%2F437609.png&w=1920&q=75
