Store,Analyst,Industry,Type,Title,Link,Published,Summary
Barnes and Noble,Ashwin Nair,Mass Merchandisers,Opening,The largest Barnes & Noble in Chicago is opening soon - Secret Chicago,https://news.google.com/rss/articles/CBMifEFVX3lxTE10N3VfNVBTaUJBVGw4aHdCajIwTFpVSkZTdkZ0LTRkOUNkdENxdXJMeFpVOW44NHRoZnM5SU5jalM4ejc0R2huckptaHlXX29GR1VEVjVCM3JqMkdVTWVGMElRQ0VqcTcxMXRudmd4R1BibWM5NkVWX19TZ00?oc=5,"Wed, 15 Jul 2026 21:41:55 GMT",The largest Barnes & Noble in Chicago is opening soon Secret Chicago
Costco Wholesale Corp.,Ashwin Nair,Mass Merchandisers,Opening,Costco Wholesale nears opening of Oconomowoc store - The Business Journals,https://news.google.com/rss/articles/CBMirAFBVV95cUxPMy0xVWpoay1xZDByQnJmaGtZa0tJc3l4RVlMZzQzTkFBNHJ5YTFrR1E1MGpjZG5iRTNROGRVVmZuYWdSMjdYaUhfNGN4Y1lJMW9IcVdzOHdVMFRPZVlLWWlnc1lPcEF2S1RpdGN6Y25XUHc0aWxzSklPRmNEYk9KNmkwRFNOT0x2bkhQNTBINVZIa3c1TU1rSG15RjQwYWlPVHoyQV9LNmROc0kw?oc=5,"Thu, 16 Jul 2026 19:07:00 GMT",Costco Wholesale nears opening of Oconomowoc store The Business Journals
Harris Teeter,Ashwin Nair,Grocery,Opening,"Kroger scraps plans for 80 Harris Teeter stores in Florida, except 1 - The Florida Times-Union",https://news.google.com/rss/articles/CBMi0gFBVV95cUxQYzJRdE9nc3dVYVVfNWEwdXhmMkZWWTdYeXNDQ1phWlZHYWY1Uzl3cjBDN21hWFhxLWs4RmZma1BOVC0wWWtuWnZPdVA0T050NXJMZHBsVnpCS3p1Uk1ic25pbmpQRW5GX3VQNUZBenJJM3pUSnRyVGg4VHdiY2s0MXppdG9iTjRDMlhXREtlQXpVZmhwS01NTE9yckRZWXg2TWs4M0Q3dTdDVmM3NXFxQ3otWVhUR1FhZHBXcnVBR2k5b1JYdjJ5aW5tRWdKSnFlN0E?oc=5,"Thu, 16 Jul 2026 18:43:57 GMT","Kroger scraps plans for 80 Harris Teeter stores in Florida, except 1 The Florida Times-Union"
Publix Super Markets,Ashwin Nair,Grocery,Opening,"Publix Super Markets Charities gifts $15,000 to Barnabas Center Food Pantry - Fernandina Observer",https://news.google.com/rss/articles/CBMiwAFBVV95cUxQUktjXzFINVB2bGxVd2xrNzBOR0ROaTh0Sk5OLUpBU1NQR05Jc3lXY3c3bDBYeTlYMXJjRWQ0amt2TjN6MXpTUkt0aUd3bUtLd09fcEhoaUlsdkp1QW5wWThBQ2NaY3ctSkc5YS0xYldkYk54cm5aa2NHVjhsOU11ei1jOC1najRwVU5QZ1B0eVFhb1ZUVnpETWJlR0lRVkExSzJ5SWxhV1FBbGRQVURkamZBcTZsTWxCNUZVdE96NEw?oc=5,"Wed, 15 Jul 2026 07:30:00 GMT","Publix Super Markets Charities gifts $15,000 to Barnabas Center Food Pantry Fernandina Observer"
Publix Super Markets,Ashwin Nair,Grocery,Closing,Publix Modernizes Network With Florida Store Closures and Rebuilds - Readers.id,https://news.google.com/rss/articles/CBMidkFVX3lxTE1YRThpRGlLcGhvNW53YzUyRTlJR3dxSFh0azhoOE82SkdVd3c4MDhwZk9udDFwZEx4R0xDb2p6TFJ5U2VWME5PYzFweDRwRXNzaFdFbGJhcXlxaEJOVE9fQ054amcyNHEtcVlqWm5yUmtWUXZNY2c?oc=5,"Thu, 16 Jul 2026 19:45:00 GMT",Publix Modernizes Network With Florida Store Closures and Rebuilds Readers.id
BP,Komal Agrawal,Convenience Stores / Distributors,Closing,BP Pulls Plug on Venture Arm After 20 Years of Weak Returns - The Tech Buzz,https://news.google.com/rss/articles/CBMilwFBVV95cUxNd19FaXhXWEp4cVYxMGRNaGt0R2ItWnllYnU2VHJPdW0wRFNmLXk3a0hJTUk1V1VYWWVxU3ZwR1IwUVJMRzlBYlZDRU1HTHB5bUJ2eDFWMXNLZVk0XzlqeXNCajJGWVl2d0xmOU5IaERtcXRoTTd4aDlMYk00OXp1RHo4aFdRNTQ0Wm1aWkNsZ1ZEendYYXVF?oc=5,"Thu, 16 Jul 2026 18:45:00 GMT",BP Pulls Plug on Venture Arm After 20 Years of Weak Returns The Tech Buzz
BP,Komal Agrawal,Convenience Stores / Distributors,Closing,Oil giant BP shutters its corporate venture arm after 20 years - TechCrunch,https://news.google.com/rss/articles/CBMingFBVV95cUxPSVJHa196bUxRQ0FCeTF5U2s5YnFjNXBWMWlSWmJfclNjYmV5UDZvTUo1OURRMGVNUkFPellwSWFBT1A1RE9ac0VCVk9iNGFJamtQbmxjVlZQS1VCQXBOSDdOdEczN203SWc5bllUX3BiUFZRbmg5WlJ6S1pERWJ1QmdfOWs1am5QWDU0MDhxSnRrNHFmWG9YeGtXcGFHQQ?oc=5,"Thu, 16 Jul 2026 17:37:03 GMT",Oil giant BP shutters its corporate venture arm after 20 years TechCrunch
H-E-B,Komal Agrawal,Grocery,Closing,Need groceries in Uvalde? H-E-B delays opening on Thursday - MySA,https://news.google.com/rss/articles/CBMigAFBVV95cUxNNjZrMzJySXVxcE5SVW5PRkFVT2Z4VG8tR2p6UVY0REF6ZGNzNEdrUU5aSTYyb2prOVRDMW9KSTYxOWUxRzIyYV8wYXVza1BiLURocjltX2JBSklYQk5qcVY2TzhZUW91YnMxVDhtUWZlemltdjBFbERxb0xUa0phMw?oc=5,"Thu, 16 Jul 2026 15:57:51 GMT",Need groceries in Uvalde? H-E-B delays opening on Thursday MySA
O'Reilly Auto Parts,Bhavesh Phulwani,Mass Merchandisers,Closing,Hanley Investment Group Arranges Sale of Three Single-Tenant O’Reilly Auto Parts Stores in Wisconsin - Carroll County Mirror-Democrat,https://news.google.com/rss/articles/CBMitwFBVV95cUxNWUxCdjNfaDgxRWRWOEV1bVhfblVYeWJ2ek9ibzZHZUdjUHJUX2RzWmJWcURJcnQwR0w4TkNLN3NVR2VFUmVIV3F2UUhrSTllQndEcEEybUFKaEE0Tk5XSHUxUlFqVTRYS05RZEsxdXp4ZWpaeFJDM1RYM0dGUk5kbElTVkkydWdGcVl0akw5VnRYYm00a0xwOEhsNWVFc0FCdEZ2WEx1anhtSnNSMDBwOWkyanRHU0U?oc=5,"Thu, 16 Jul 2026 14:40:05 GMT",Hanley Investment Group Arranges Sale of Three Single-Tenant O’Reilly Auto Parts Stores in Wisconsin Carroll County Mirror-Democrat
Petco,Vishwas Shah,Mass Merchandisers,Opening,"Major change for former Petco as 12,000-square-foot Goodwill to open July 23 - the-sun.com",https://news.google.com/rss/articles/CBMipAFBVV95cUxPM3pTYVNhcFZKUjFuckZGMFVMZ2NZU3VHaWxiV242YTJhUnA0WGJIbG4wc0NnWXBTM1VXTnRuVWFBNTRmdnBVZWRpMHBOOGx3eUtTZEdCWWNCUUpJeXNsN2l0NnFHOF9xQ28yTjUxU05LeV8td0hxY3Q0R1R0Q2pqYkNCT0hYaEZ1LVJaaVhlMlVaRHRkTGhSNEphOTFIZmlWd21kUA?oc=5,"Thu, 16 Jul 2026 15:46:23 GMT","Major change for former Petco as 12,000-square-foot Goodwill to open July 23 the-sun.com"
