title,url,source,pub_date,snippet,Date_Appended,query,full_text,summary,keywords,jsonld_name,jsonld_date,jsonld_address,og_description
Burger Up to close in 12South after 16 years amid neighborhood turnover,https://www.bizjournals.com/nashville/news/2026/06/16/burger-up-nashville-closes-restaurant-12-south.html,Nashville Business Journal,15 hours ago,"We would all agree that Nashville is a different city sitting here than it was 10 years ago when Josephine wasopening.”

Across the street from Burger Up, an Anthropologie and Mother’s Ruin areopeningin a new two-story building. Across the street from Anthropologie’s future home, local veteran investor group Corner Partnership is planning a new development to attract “top-notch” retailers. 

…",2026-06-17,,,,,,,,
Buffalo Wild Wings carryoutrestaurantopeningin Central Ohio,https://www.bizjournals.com/columbus/news/2026/06/16/columbus-buffalo-wild-wings-go-carryout-restaurant.html,Columbus Business First,16 hours ago,"Thatrestaurantand bar moved to 2044 N. High St. in the 1990s and then to a new-build spot at 2149 N. High St. in 2007. It's one of 17 traditional locations Buffalo Wild Wings has in Central Ohio.

…",2026-06-17,,,,,,,,
"Downtownrestaurantto close after less than a year, and more retail news",https://www.bizjournals.com/boston/news/2026/06/16/nine-restaurant-closing-retail-news.html,Boston Business Journal,17 hours ago,"Middle Eastern fast-casualrestaurantNaya isopeningits sixth Greater Boston location in Fenway. The brand has been fast-expanding; its other new spots in Burlington and Kendall Square also opened earlier this year.
…",2026-06-17,,,,,,,,
SoDough Square owner discusses expansion plans amid challengingrestaurantclimate,https://www.bizjournals.com/orlando/news/2026/06/16/sodough-square-pizza-restaurant-expansion-economy.html,Orlando Business Journal,17 hours ago,"To navigate this, he said restaurateurs need to focus on the fundamentals of the business, which are controlling the costs of food and labor. Murphy added ensuring arestaurant’s delivery and takeout services are on par is key as well.   

Bair shared a similar perspective, which is also seen through his newrestaurantopeningin Tampa. …",2026-06-17,,,,,,,,
Five restaurants now confirmed for Regency's $140M Seven Pines project ahead of 2027opening,https://www.bizjournals.com/jacksonville/news/2026/06/16/dining-the-village-at-seven-pines.html,Jacksonville Business Journal,18 hours ago,"Therestaurantis known for shareable plates, noodles, bao buns, craft cocktails and roti inspired by the hawker stalls of Southeast Asia.

Lynora’s will make its North Florida debut at The Village at Seven Pines. …",2026-06-17,,,,,,,,
"China Grill returns in Bal Harbour, Pilates studio set for Royal Palm Beach and beach club opens at Kimpton Surfcomber (Photos)",https://www.bizjournals.com/southflorida/news/2026/06/16/china-grill-returns-bal-harbour-miami-beach.html,South Florida Business Journal,20 hours ago,"The gallery will showcase Turco's ""Only One"" collection of wall art, sculptures and design objects, with a grandopeningplanned for Oct. 1. Turco recently opened his first dedicated gallery in Udine, Italy, before expanding to Miami Beach.

Giotto Maestro della Pizza



Giotto Maestro della Pizza opened its second location on June 11 in downtown Miami, expanding beyond its longtime South Beachrestaurant. …",2026-06-17,,,,,,,,
Supreme Dumplings opens at Tacoma Mall's new Village complex,https://www.bizjournals.com/seattle/news/2026/06/16/supreme-dumplings-restaurant-tacoma-mall-village.html,Puget Sound Business Journal,2 hours ago,"The restaurant joins other recently opened concepts at the mall including Happy Lamb Hot Pot, Shake Shack and Dave's Hot Chicken. Simply Thai and Gong Cha are expected to open this fall. …",2026-06-17,,,,,,,,
Indoor golf chain to enter Seattle market with Northgate location,https://www.bizjournals.com/seattle/news/2026/06/16/another-nine-golf-northgate-north-topgolf-kite.html,Puget Sound Business Journal,3 hours ago,"The location will hold five simulator suites, which are private and BYOB. 

The opening is slated for fall or winter, though Another Nine will have a clearer sense of the timeline after permits are approved, Jewell said.

…",2026-06-17,,,,,,,,
Developer files $7.3M lawsuit against Pihakis Restaurant Group,https://www.bizjournals.com/birmingham/news/2026/06/16/mouron-lawsuit-pihakis-rent.html,Birmingham Business Journal,9 hours ago,"The latest actions add to a growing list of legal challenges tied to Pihakis Restaurant Group and affiliated entities.

In a separate lawsuit filed on June 4, Florida-based Fox Funding Group LLC alleges more than two dozen restaurant entities tied to Pihakis defaulted on roughly $700,000 in financing and then shifted operations into new companies to avoid repayment.

…",2026-06-17,,,,,,,,
"Bakery expands to former Paradise Valley Mall project, and more restaurant news",https://www.bizjournals.com/phoenix/news/2026/06/16/too-sweet-cakes-pv-pita-jungle-dbacks-haymaker.html,Phoenix Business Journal,10 hours ago,"Osmani said the opportunity will allow Pita Jungle to connect with thousands of people over the week, which could end up driving more business to its brick-and-mortar restaurants.



• Haymaker, a long-running West Valley restaurant , is looking to grow its presence in the Valley and across Arizona through franchising.

Earlier this month, restaurant founder Joey Lucidi announced he is looking for qualified franchise partners for its next chapter of growth. …",2026-06-17,,,,,,,,
$18.5M sailing center opening on Cleveland's lakefront as development surges,https://www.bizjournals.com/cleveland/news/2026/06/16/metroparks-parker-community-sailing.html,Cleveland Business Journal,12 hours ago,"Sailing classes are expected to begin in the late summer or fall, according to Cleveland.com.

The eastern building includes a lakefront restaurant , The Galley, and bar, Rusty's, which are already open. The center also is a trailhead for Cleveland Metroparks' growing trail system on the east side of Cleveland.

…",2026-06-17,,,,,,,,
"Thai 9 expands to Piqua, opening second location in historic Fort Piqua Plaza",https://www.bizjournals.com/dayton/news/2026/06/16/thai-9-opening-in-historic-fort-piqua-plaza.html,Dayton Business Journal,12 hours ago,"Thai 9 plans to hire between 30 and 35 employees, with operating hours mirroring those of the Dayton restaurant . Hiring has already begun, and Clark said management training is underway.

""We've already hired our top manager, and he has hired his top-level team,"" Clark said. …",2026-06-17,,,,,,,,
First look: Nick & Sam's founding GM opens new steakhouse in Preston Hollow,https://www.bizjournals.com/dallas/news/2026/06/16/palladinos-new-steakhouse-opens-preston-hollow.html,Dallas Business Journal,12 hours ago,"Palladino had grown to a 50/50 partner in Nick & Sam's as of 2015 but is no longer involved with the restaurant , located at 3008 Maple Ave.

Palladino, a former New York police officer and Bronx native, opened the first Palladino's location in New York City’s Grand Central Terminal in fall 2025. …",2026-06-17,,,,,,,,
