state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,State,Union,Industry
Connecticut,Guida-Seibert Dairy Company,New Britain,2026-05-21 00:00:00,07/20/2026-08/31/2026,205,Closure - Permanent,,Connecticut,,
Connecticut,IDEX Health and Science LLC,Bristol,2026-05-05 00:00:00,07/15/2026-10/30/2026,73,Closure - Permanent,,Connecticut,,
Connecticut,CVS Health Aetnas Clinical Solutions/Aetna Business Operations,Remote,2026-05-04 00:00:00,2026-07-03 00:00:00,6,Layoff - Permanent,,Connecticut,,
Connecticut,Stanley Black and Decker,New Britain,2026-03-04 00:00:00,05/04/2026-04/14/2027,300,Closure - Permanent,,Connecticut,"IAM, District 26, Locals 1433 and 1249",
Connecticut,"Talcott Resolution Life, Inc.",Hartford,2026-02-18 00:00:00,2026-04-24 00:00:00,101,Closure - Permanent,,Connecticut,,
Connecticut,"Main Street Sports Group, LLC",Southport,2026-02-13 00:00:00,2026-04-14 00:00:00,44,Closure - Permanent,,Connecticut,,
Connecticut,CVS Heath - Aetna,"Hartford, Remote",2026-02-04 00:00:00,04/03/2026-07/31/2026,313,Layoff - Permanent,,Connecticut,,
Connecticut,Macys Cheshire Fulfillment Center,Cheshire,2026-01-13 00:00:00,03/14/2026-04/30/2027,993,Closure - Permanent,,Connecticut,,
Connecticut,Macys Store Delivery Center (SDS) and Customer Returns Center (CRD) Operations,South Windsor,2026-01-12 00:00:00,2026-03-14 00:00:00,57,Closure - Permanent,,Connecticut,,
Connecticut,JeniusBank,Remote,2026-01-08 00:00:00,2026-03-10 00:00:00,161,Layoff - Permanent,,Connecticut,,
Connecticut,"Tessera Therapeutics, Inc",Remote,2026-01-06 00:00:00,2026-03-08 00:00:00,1,Layoff - Permanent,,Connecticut,,
Connecticut,Connecticut Custom Car,Enfield,2025-12-08 00:00:00,2025-11-26 00:00:00,5,Closure,,Connecticut,,
Connecticut,PosiGen Developer LLC,Shelton,2025-11-14 00:00:00,11/23/2025-12/06/2025,,Closure - Permanent,,Connecticut,,
Connecticut,Edgewell Personal Care/Schick,Milford,2025-11-13 00:00:00,03/02/2026-12/31/2027        ,293,Closure - Permanent,,Connecticut,,
Connecticut,"NSI Industries, LLC; Metallics, Inc",Bristol,2025-11-07 00:00:00,05/01/2026-09/30/2026        ,33,Closure - Permanent,,Connecticut,,
Connecticut,"ELG Utica Alloys (Harford), Inc.",Hartford,2025-10-31 00:00:00,2025-12-31 00:00:00,51,Layoff,,Connecticut,Yes,
Connecticut,Macys South Windsor Distribution Center,South Windsor,2025-10-28 00:00:00,2025-12-28 00:00:00,106,Closure,,Connecticut,,
Connecticut,CVS Health,Remote,2025-10-17 00:00:00,2025-12-31 00:00:00,72,Layoff,,Connecticut,,
Connecticut,PosiGen Developer LLC,Shelton,2025-10-24 00:00:00,2025-11-02 00:00:00,,Layoff,,Connecticut,,
Connecticut,Balducci’s Store 3610,Westport,2025-10-24 00:00:00,2026-02-28 00:00:00,59,Closure,,Connecticut,,
Connecticut,"ImageFIRST Healthcare Laundry Specialists, LLC",Farmington,2025-10-09 00:00:00,2025-12-08 00:00:00,69,Layoff,,Connecticut,,
Connecticut,PosiGen Developer LLC,"Shelton, Danbury, Wethersfield",2025-10-03 00:00:00,10/12/2025-10/25/2025,,Closure,,Connecticut,,
Connecticut,"SimplyIOA, LLC",Remote,2025-10-07 00:00:00,2025-12-02 00:00:00,66,Closure - Permanent,,Connecticut,,
Connecticut,PerkinElmer U.S. LLC,Shelton,2025-09-23 00:00:00,11/24/2025-04/01/2026,68,Closure - Permanent,,Connecticut,,
Connecticut,PosiGen Developer LLC,"Shelton, Danbury, Wethersfield",2025-09-12 00:00:00,09/21/2025-10/04/2025,,Closure,,Connecticut,,
Connecticut,PosiGen Developer LLC,"Shelton, Danbury, Wethersfield",2025-08-25 00:00:00,2025-08-24 00:00:00,78,Layoff - Permanent,,Connecticut,,
Connecticut,ACME Market,Greenwich,2025-08-04 00:00:00,2025-10-09 00:00:00,56,Closure,,Connecticut,UFCW Local 371,
Connecticut,First Student,Stamford,2025-06-20 00:00:00,2025-07-01 00:00:00,140,Closure,,Connecticut,,
Connecticut,"HDR Trumbull, LLC dba St. Joseph's Center",Trumbull,2025-06-10 00:00:00,06/10/2025-08/09/2025,179,Closure,,Connecticut,,
Connecticut,"Feeney Brothers Excavation, LLC (Second Update)",Waterbury,2025-05-16 00:00:00,2025-05-16 00:00:00,6,Layoff,,Connecticut,,
Connecticut,"TransAxle, LLC",Killingly,2025-05-16 00:00:00,07/15/2025-07/29/2025,4,Closure,4 of 82 affected workers are CT residents,Connecticut,,
Connecticut,"Feeney Brothers Excavation, LLC (Update)",Waterbury,2025-05-02 00:00:00,2025-05-02 00:00:00,9,Layoff,,Connecticut,,
Connecticut,"Arvinas, Inc.",New Haven,2025-04-30 00:00:00,2025-06-29 00:00:00,92,Layoff,92 of 131 affected workers are CT residents,Connecticut,,
Connecticut,CVS Health,Hartford,2025-04-24 00:00:00,08/03/2025-12/28/2025,1,Layoff,1 of 55 affected workers are CT residents,Connecticut,,
Connecticut,"Feeney Brothers Excavation, LLC",Waterbury,2025-04-16 00:00:00,04/15/2025-07/31/2025,37,Layoff,,Connecticut,,
