state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,source_entry_url
Georgia,AGCO Corporation,,01/07/2025,,3,,GA202400064,https://www.tcsg.edu/warn-public-view/entry/64822/
Georgia,Packaging Corporation of America,,01/09/2025,,103,,GA202400065,https://www.tcsg.edu/warn-public-view/entry/64891/
Georgia,Networx Systems Inc,,01/24/2025,,51,,GA202400067,https://www.tcsg.edu/warn-public-view/entry/65280/
Georgia,Rambo 1 LLC,,01/29/2025,,135,,GA202400068,https://www.tcsg.edu/warn-public-view/entry/65520/
Georgia,"Exel, Inc.",,02/03/2025,,614,,GA202400070,https://www.tcsg.edu/warn-public-view/entry/65683/
Georgia,"Radial, Inc.",,02/04/2025,,164,,GA202400071,https://www.tcsg.edu/warn-public-view/entry/65739/
Georgia,"Hi-Rez Studios, Inc.",,02/04/2025,,69,,GA202400072,https://www.tcsg.edu/warn-public-view/entry/65743/
Georgia,"Integrated Health Resources, LLC",,02/06/2025,,105,,GA202400073,https://www.tcsg.edu/warn-public-view/entry/65814/
Georgia,"American Anesthesiology of Georgia, LLC",,02/20/2025,,224,,GA202400077,https://www.tcsg.edu/warn-public-view/entry/70204/
Georgia,Rent Group Inc.,,02/24/2025,,56,,GA202400078,https://www.tcsg.edu/warn-public-view/entry/70365/
Georgia,Harvest Sherwood Food Distributors,,03/04/2025,,113,,GA202400076,https://www.tcsg.edu/warn-public-view/entry/70594/
Georgia,"Bailey Street Bakery, LLC",,03/04/2025,,176,,GA202400075,https://www.tcsg.edu/warn-public-view/entry/70596/
Georgia,Animal Supply Company LLC,,03/04/2025,,57,,GA202400074,https://www.tcsg.edu/warn-public-view/entry/70601/
Georgia,Archway Marketing Services Inc.,,03/05/2025,,60,,GA202400069,https://www.tcsg.edu/warn-public-view/entry/70634/
Georgia,Macy's Gwinnett Place,,03/05/2025,,62,,GA202400066,https://www.tcsg.edu/warn-public-view/entry/70636/
Georgia,"National Distribution Centers, LLC",,03/11/2025,,90,,GA202400079,https://www.tcsg.edu/warn-public-view/entry/70879/
Georgia,Greif Inc,,03/11/2025,,61,,GA202400080,https://www.tcsg.edu/warn-public-view/entry/70910/
Georgia,"Danimer Scientific Holdings, LLC",,03/14/2025,,82,,GA202400081,https://www.tcsg.edu/warn-public-view/entry/71013/
Georgia,Essendant,,03/20/2025,,64,,GA202400082,https://www.tcsg.edu/warn-public-view/entry/71172/
Georgia,"Block, Inc.",,03/25/2025,,49,,GA202400083,https://www.tcsg.edu/warn-public-view/entry/71296/
Georgia,"Piedmont Athens Regional Medical Center, Inc.",,04/02/2025,,95,,GA202400084,https://www.tcsg.edu/warn-public-view/entry/71452/
Georgia,Saddle Creek Logistics Services,,04/02/2025,,73,,GA202400085,https://www.tcsg.edu/warn-public-view/entry/71461/
Georgia,United States Cellular Corporation,,04/07/2025,,4100,,GA202400086,https://www.tcsg.edu/warn-public-view/entry/72330/
Georgia,"Davis Express, Inc.",,04/16/2025,,163,,GA202400087,https://www.tcsg.edu/warn-public-view/entry/74064/
Georgia,"CoStar Realty Information, Inc.",,04/18/2025,,84,,GA202400088,https://www.tcsg.edu/warn-public-view/entry/74123/
Georgia,"Atco Rubber Products, Inc.",,05/02/2025,,124,,GA202400089,https://www.tcsg.edu/warn-public-view/entry/75115/
Georgia,"Georgia-Pacific, LLC",,05/14/2025,,535,,GA202400090,https://www.tcsg.edu/warn-public-view/entry/75429/
Georgia,WIOSS Atlanta LP,,05/15/2025,,53,,GA202400091,https://www.tcsg.edu/warn-public-view/entry/75453/
Georgia,FedEx Supply Chain Inc's,,05/16/2025,,383,,GA202400092,https://www.tcsg.edu/warn-public-view/entry/75477/
Georgia,"NexTraq, LLC",,05/21/2025,,39,,GA202400094,https://www.tcsg.edu/warn-public-view/entry/75568/
Georgia,TransAxle LLC,,05/23/2025,,209,,GA202400093,https://www.tcsg.edu/warn-public-view/entry/75614/
Georgia,Target Corporation,,06/12/2025,,62,,GA202400096,https://www.tcsg.edu/warn-public-view/entry/76110/
Georgia,"BLST Operating Company, LLC",,06/23/2025,,160,,GA202400097,https://www.tcsg.edu/warn-public-view/entry/76314/
Georgia,Wellpath,,06/23/2025,,68,,GA202400098,https://www.tcsg.edu/warn-public-view/entry/76319/
Georgia,"IG Design Group Americas, Inc.",,06/27/2025,,53,,GA202400099,https://www.tcsg.edu/warn-public-view/entry/76396/
Georgia,"Kelly Services, Inc.",,06/30/2025,,973,,GA202400100,https://www.tcsg.edu/warn-public-view/entry/76417/
Georgia,"Pourlessoins, LLC",,07/02/2025,,8,,GA202500002,https://www.tcsg.edu/warn-public-view/entry/76645/
Georgia,Hyatt Corporation,,07/03/2025,,102,,GA202500001,https://www.tcsg.edu/warn-public-view/entry/76659/
Georgia,Americold Logistics,,07/03/2025,,110,,GA202500003,https://www.tcsg.edu/warn-public-view/entry/76666/
Georgia,"GSC Transport, Inc",,07/10/2025,,4,,GA202500006,https://www.tcsg.edu/warn-public-view/entry/76774/
Georgia,"Quality Built, LLC",,07/14/2025,,4,,GA202500004,https://www.tcsg.edu/warn-public-view/entry/76808/
Georgia,"Whitepath Fab Tech, Inc",,07/14/2025,,42,,GA202500005,https://www.tcsg.edu/warn-public-view/entry/76810/
Georgia,"Backyard PlayNation, LLC",,07/16/2025,,66,,GA202500007,https://www.tcsg.edu/warn-public-view/entry/76860/
Georgia,Americold Logistics,,07/18/2025,,36,,GA202500008,https://www.tcsg.edu/warn-public-view/entry/76878/
Georgia,Community Development Institute Head Start,,07/30/2025,,77,,GA202500011,https://www.tcsg.edu/warn-public-view/entry/77025/
Georgia,Yamaha Motor Manufacturing Corporation,,07/30/2025,,160,,GA202500012,https://www.tcsg.edu/warn-public-view/entry/77027/
Georgia,Americold Logistics,,07/31/2025,,12,,GA202500013,https://www.tcsg.edu/warn-public-view/entry/77035/
Georgia,"Unifi Aviation, LLC",,08/05/2025,,379,,GA202500014,https://www.tcsg.edu/warn-public-view/entry/77121/
Georgia,Americold Logistics,,08/07/2025,,5,,GA202500015,https://www.tcsg.edu/warn-public-view/entry/77148/
Georgia,Block Inc,,08/12/2025,,4,,GA202500016,https://www.tcsg.edu/warn-public-view/entry/77203/
Georgia,"Kinder Morgan, Inc.",,08/14/2025,,42,,GA202500017,https://www.tcsg.edu/warn-public-view/entry/77230/
Georgia,"United Surface Solutions, LLC",,08/14/2025,,112,,GA202500018,https://www.tcsg.edu/warn-public-view/entry/77239/
Georgia,FreshRealm,,08/15/2025,,75,,GA202500019,https://www.tcsg.edu/warn-public-view/entry/77245/
Georgia,Soli Organic Inc.,,08/15/2025,,128,,GA202500020,https://www.tcsg.edu/warn-public-view/entry/77250/
Georgia,International Paper,,08/21/2025,,101,,GA202500022,https://www.tcsg.edu/warn-public-view/entry/77368/
Georgia,International Paper Savannah Mill,,08/21/2025,,691,,GA202500023,https://www.tcsg.edu/warn-public-view/entry/77369/
Georgia,"Newport Timber, LLC",,08/21/2025,,13,,GA202500024,https://www.tcsg.edu/warn-public-view/entry/77382/
Georgia,"RB Lumber Company, LLC",,08/21/2025,,68,,GA202500026,https://www.tcsg.edu/warn-public-view/entry/77384/
Georgia,Interstate Paper LLC,,08/21/2025,,220,,GA202500025,https://www.tcsg.edu/warn-public-view/entry/77392/
Georgia,Hormel Foods Corporation,,08/25/2025,,135,,GA202500027,https://www.tcsg.edu/warn-public-view/entry/77407/
Georgia,J.B. Hunt Transport Inc.,,08/26/2025,,74,,GA202500028,https://www.tcsg.edu/warn-public-view/entry/77439/
Georgia,"APL Logistics Warehouse Management Services, Inc.",,08/27/2025,,118,,GA202500029,https://www.tcsg.edu/warn-public-view/entry/77510/
Georgia,"Country Home Bakers, LLC",,08/28/2025,,164,,GA202500030,https://www.tcsg.edu/warn-public-view/entry/77515/
Georgia,Americold Logistics,,08/28/2025,,3,,GA202500031,https://www.tcsg.edu/warn-public-view/entry/77521/
Georgia,Global Resource International/ Alleset INC.,,09/09/2025,,41,,GA202500032,https://www.tcsg.edu/warn-public-view/entry/77827/
Georgia,Spirit Airlines LLC,,09/24/2025,,334,,GA202500033,https://www.tcsg.edu/warn-public-view/entry/78158/
Georgia,"CoStar Realty Realty Information, Inc",,10/02/2025,,6,,GA202500034,https://www.tcsg.edu/warn-public-view/entry/78294/
Georgia,Americold Logistics,,10/02/2025,,4,,GA202500035,https://www.tcsg.edu/warn-public-view/entry/78295/
Georgia,"Augusta Sportswear, Inc",,10/07/2025,,93,,GA202500038,https://www.tcsg.edu/warn-public-view/entry/78351/
Georgia,"Nichiha USA, Inc",,10/09/2025,,171,,GA202500036,https://www.tcsg.edu/warn-public-view/entry/78392/
Georgia,Comcast,,10/15/2025,,240,,GA202500039,https://www.tcsg.edu/warn-public-view/entry/78621/
Georgia,RATP Dev USA Inc,,10/22/2025,,80,,GA202500040,https://www.tcsg.edu/warn-public-view/entry/78878/
Georgia,Saddle Creek Logistics Services,,10/27/2025,,128,,GA202500043,https://www.tcsg.edu/warn-public-view/entry/78950/
Georgia,"Mannington Mills, Inc.",,10/29/2025,,211,,GA202500045,https://www.tcsg.edu/warn-public-view/entry/79013/
Georgia,The William Carter Company,,10/30/2025,,189,,GA202500046,https://www.tcsg.edu/warn-public-view/entry/79042/
Georgia,"Integrated Health Resources, LLC",,10/31/2025,,107,,GA202500047,https://www.tcsg.edu/warn-public-view/entry/79057/
