state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
Hawaii,JINYA Hawaii. inc. (dba JINYA Ramen Bar – Honolulu),,12/15/2025,,,,
Hawaii,5 Minute Pharmacy LLC,,12/11/2025,,,,
Hawaii,Autocraft Hawaii LLC,,12/01/2025,,,,
Hawaii,Zetton Inc. (dba Camado Ramen Tavern),,11/26/2025,,,,
Hawaii,Queen’s Medical Center Pathology Operations,,11/18/2025,,,,
Hawaii,Paradise Cove Luau,,10/29/2025,,,,
Hawaii,Panda Restaurant Group (Raising Cane’s),,10/03/2025,,,,
Hawaii,Pulama Lanai (Rock & Concrete Operations),,09/22/2025,,,,
Hawaii,Monsanto Technology LLC,,09/10/2025,,,,
Hawaii,Watabe Wedding Corp (Follow-up to November 2024 WARN),,08/21/2025,,,,
Hawaii,Parts Center Hawaii,,08/18/2025,,,,
Hawaii,Polynesian Cultural Center,,08/08/2025,,,,
Hawaii,Claire’s,,08/04/2025,,,,
Hawaii,Project Vision,,07/25/2025,,,,
Hawaii,Hawaiian Airlines (Alaska Airlines),,07/16/2025,,,,
Hawaii,Hawaii Homeless Healthcare Hui,,07/08/2025,,,,
Hawaii,Zetton Inc. (Aloha Table),,06/13/2025,,,,
Hawaii,"Entertainment America, Inc. (Chuck E. Cheese – Pearl City Location)",,06/09/2025,,,,
Hawaii,Watabe Wedding Corporation (Farmer’s Market Operation),,06/09/2025,,,,
Hawaii,Management & Training Corporation (Hawaii Job Corps Center),,06/02/2025,,,,
Hawaii,Oshkosh Airport Services,,05/08/2025,,,,
Hawaii,"Ocean Investments, LLC (53 By The Sea, Terrace By The Sea, & related wedding services)",,04/24/2025,,,,
Hawaii,"C&S Family of Companies (Second WARN Notice – Hawaii Logistics LLC, Hawaiian Housewares LLC, C&S Wholesale Grocers LLC)",,03/13/2025,,,,
Hawaii,Project Vision,,02/21/2025,,,,
Hawaii,"Ginshari, Inc. – KuruKuru Sushi",,02/07/2025,,,,
Hawaii,Territorial Savings Bank,,02/07/2025,,,,
Hawaii,Aqua Hotels & Resorts – Aqua Skyline at Island Colony (Hotel),,02/05/2025,,,,
Hawaii,Hawaiian Ice,,01/23/2025,,,,
Hawaii,Alaska Airlines,,01/22/2025,,,,
Hawaii,Lahaina Petroleum,,01/02/2025,,,,
Hawaii,"C&S Family of Companies (Hawaii Logistics LLC, Hawaiian Housewares LLC, C&S Wholesale Grocers LLC)",,01/08/2025,,,,
Hawaii,Adventist Health,,06/30/2026,,,,
Hawaii,Ali`i Health Center,,06/29/2026,,,,
Hawaii,Hawaii Coffee Company (Royal Kona Coffee),,06/15/2026,,,,
Hawaii,Ben Bridge (Pearlridge Store),,06/09/2026,,,,
Hawaii,Hyatt Centric Waikiki Rack (Nordstrom),,06/08/2026,,,,
Hawaii,SODEXO,,05/20/2026,,,,
Hawaii,"HC&D, LLC",,05/20/2026,,,,
Hawaii,Pharmerica,,05/07/2026,,,,
Hawaii,"Conditional WARN – Republic National Distributing Company, LLC (RNDC)",,04/23/2026,,,,
Hawaii,The Odom Corporation,,03/17/2026,,,,
Hawaii,Saks & Company LLC,,03/17/2026,,,,
Hawaii,Cotti Foods Pizza Hawaii Inc. (dba Pieology Pizzeria),,03/09/2026,,,,
Hawaii,"Kauai Coffee Company, LLC (Additional Notice – Supplement to January 12, 2026 WARN) – (WARN Rescinded – May 1, 2026)",,03/06/2026,,,,
Hawaii,Alaska Airlines (Hawaiian Airlines),,02/27/2026,,,,
Hawaii,"Honolulu Roofing Company, Inc.",,02/23/2026,,,,
Hawaii,"UPDATE – DFS Group L.P. (update to previous WARN – “January 8, 2026 – DFS Group L.P.”)",,01/26/2026,,,,
Hawaii,Wolfgang’s Steakhouse (Maui),,01/21/2026,,,,
Hawaii,"Kauai Coffee Company, LLC (WARN Rescinded – May 1, 2026)",,01/12/2026,,,,
Hawaii,DFS Group L.P.,,01/08/2026,,,,
