state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,Address,State,Zip
Idaho,Fortrex,Kuna,07/01/2026,07/30/2026,53,,received 7/2/2026 revised 7/8/2026,17365 S Cole Road,ID,83634
Idaho,Conduent,Florham Park,06/26/2026,08/26/2026,(1 in ID),,received 6/29/2026,100 Campus Dr,NJ,07932
Idaho,Idahoan Foods,Rupert,04/21/2026,06/26/2026,61,,received 4/21/2026,823 S Oneida St,ID,83350
Idaho,Intermountain Packing,Idaho Falls,04/06/2026,04/03/2026,150,,received 4/6/2026,1096 East Iona Road,ID,83401
Idaho,LA Semiconductor LLC,Pocatello,02/09/2026,4/10/2026 5/1/2026 5/31/2026,342,,received 2/9/2026 revised 2/18/2026 revised 4/7/2026 revised 4/24/26,2300 W. Buckskin Rd,ID,83201
Idaho,"Hearthside Food Solutions, LLC dba Maker's Pride",Boise,01/28/2026,02/26/2026,51,,received 1/28/2026,7031 S. Eisenman Rd,ID,83716
Idaho,PacificSource,Boise,10/24/2025,12/31/2025,42,,received 10/29/2025,"408 E. Parkcenter Blvd, Suite 100",ID,83706
Idaho,N.A. Degerstrom,Soda Springs,09/05/2025,11/10/2025,113,,,3268 Blackfoot River Road,ID,83276
Idaho,"Exyte U.S., Inc.",Boise,09/02/2025,09/02/2025,201,,received 10/2/2025,9245 S Gigabit Lane,ID,83716
Idaho,Inspiro,Coeur d'Alene,08/01/2025,09/30/2025,100,,,"200 W Hanley Ave, #13",ID,83815
Idaho,"Transit Management of Ada County, Inc.",Boise,07/31/2025,09/30/2025,111,,,4701 S. Northrup,ID,83705
Idaho,"Transit Management of Canyon County, Inc.",Caldwell,07/31/2025,09/30/2025,28,,,5907 Cleveland Blvd,ID,83607
Idaho,"Quality Built, LLC",Fort Lauderdale,07/07/2025,07/03/2025,1,,,633 S. Andrews Ave.,FL,33301
Idaho,"Sunshine Minting, Inc.",Coeur d'Alene,06/26/2025,07/02/2025,72,,,750 W. Canfield Ave.,ID,83815
Idaho,Management & Training Corporation - Centennial Job Corps Center,Nampa,06/03/2025,06/30/2025,75,,,3201 Ridgecrest Dr,ID,83687
Idaho,"Accelerate360 Distribution, LLC - Dakota Merchandising Remote Work Unit",Sioux Falls,04/25/2025,06/28/2025,324 (32 in ID),,,5013 S Louise Ave #5105,SD,57108
Idaho,Saia LTL Freight,Meridian,04/08/2025,06/16/2025,78,,,"2264 S Bonito Way, Suite 100",ID,83642
Idaho,Super T Transport,Idaho Falls,04/02/2025,05/31/2025,10,,,2535 N Blvd,ID,83401
Idaho,Blue Cross of Idaho,Meridian,03/27/2025,06/06/2025,135,,,3000 E. Pine Ave.,ID,83642
