state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,State,Union,Industry
Illinois,KLEO Community Family Life Center,Chicago,2026-04-29 00:00:00,2026-06-30 00:00:00,65,Closing - Permanent,Northeast 4,Illinois,No,Health Care and Social Assistance
Illinois,"DSV Contract Logistics, LLC",Edwardsville,2026-04-23 00:00:00,2026-07-05 00:00:00,155,Closing - Permanent,Southwestern 9,Illinois,No,Transportation and Warehousing
Illinois,Luttrell Staffing Group - at Freudenberg Filtration II,Belvidere,2026-04-23 00:00:00,07/16/2026-08/31/2026,114,Closing - Permanent,Northern Stateline 5,Illinois,No,Employment Placement Agency
Illinois,"Iron Galaxy Studios, LLC",Chicago,2026-04-17 00:00:00,04/17/2026-07/17/2026,48,Layoff - Permanent,Northeast 4,Illinois,No,Computer Programming Service
Illinois,Gerresheimer Moulded Glass Chicago Inc.,Chicago Heights,2026-04-13 00:00:00,09/30/2026-11/30/2026,172,Closing - Permanent,Northeast 4,Illinois,Yes,Glass Container Manufacturing
Illinois,Dana Incorporated,Robinson,2026-04-10 00:00:00,06/15/2026-10/01/2026,81,Closing - Permanent,Southeastern 7,Illinois,Yes,Vehicle Transmission and Power Train Parts Manufacturing
Illinois,"Aramark Campus, LLC (at Plainfield Community School District)",Plainfield,2026-04-07 00:00:00,2026-05-22 00:00:00,170,Closing - Permanent,Northeast 4,Illinois,No,Food Service Contractors
Illinois,Heartland Human Care Services (International Children's Reception Center),Chicago,2026-04-01 00:00:00,2026-03-31 00:00:00,120,Closing - Permanent,Northeast 4,Illinois,Yes,Human Rights Organization
Illinois,Illinois Central School Bus (at Alton Community School District),Godfrey,2026-04-01 00:00:00,05/22/2026-07/01/2026,160,Closing - Permanent,Southwestern 9,Illinois,Yes,School and Employee Bus Transportation
Illinois,Heartland Human Care Services,Chicago,2026-04-01 00:00:00,2026-03-31 00:00:00,120,Closing - Permanent,Northeast 4,Illinois,Yes,Human Rights Organization
Illinois,"Hyster-Yale Materials, Inc.",Danville,2026-03-31 00:00:00,2026-06-01 00:00:00,20,Closing - Permanent,East Central 2,Illinois,Yes,Industrial Machinery and Equipment Wholesalers
Illinois,Southwest Airline Co. (at O'Hare Airport),Chicago,2026-03-31 00:00:00,2026-06-04 00:00:00,107,Closing - Permanent,Northeast 4,Illinois,Yes,Passenger Air Transportaton
Illinois,Walmart,Matteson,2026-03-27 00:00:00,2026-05-29 00:00:00,111,Closing - Permanent,Northeast 4,Illinois,No,Department Stores
Illinois,Illinois Central School Bus,Wilmington,2026-03-20 00:00:00,05/29/2026-06/30/2026,55,Closing - Permanent,Northeast 4,Illinois,Yes,School and Employee Bus Transportation
Illinois,Trinity Christian College,Palos Heights,2026-03-20 00:00:00,05/04/2026-05/17/2026,107,Closing - Permanent,Northeast 4,Illinois,No,"Colleges, Universities, and Professional Schools"
Illinois,Windy City Supply Chain LLC,Chicago,2026-03-19 00:00:00,2026-05-24 00:00:00,105,Closing - Permanent,Northeast 4,Illinois,No,Couriers and Express Delivery Services
Illinois,Aspira Inc. of Illinois,Chicago,2026-03-06 00:00:00,2026-04-03 00:00:00,57,Closing - Permanent,Northeast 4,Illinois,Yes,Educational Services
Illinois,Saks Fifth Avenue,Chicago,2026-03-06 00:00:00,05/06/2026-05/13/2026,101,Closing - Permanent,Northeast 4,Illinois,No,Retail Department Stores
Illinois,"Millwood, Inc.",Melrose Park,2026-03-03 00:00:00,2026-05-01 00:00:00,112,Closing - Permanent,Northeast 4,Illinois,No,Wood Container and Pallet Manufacturing
Illinois,Illinois Central School Bus,Waterloo,2026-03-02 00:00:00,05/25/2026-06/30/2026,37,Closing - Permanent,Southwestern 9,Illinois,Yes,School and Employee Bus Transportation
Illinois,Trelleborg Sealing Solutions,Streamwood,2026-02-26 00:00:00,04/30/2026-12/31/2026,65,Closing - Permanent,Northeast 4,Illinois,Yes,"Manufacturing - Gasket, Packing and Sealing Device"
Illinois,"First Brands Group, LLC (Albion Air Facility)",Albion,2026-02-23 00:00:00,02/23/2026-04/10/2026,114,Closing - Permanent,Southern 8,Illinois,No,Manufacturing - Motor Vehicle Parts
Illinois,"First Brands Group, LLC (Albion Distribution Center)",Albion,2026-02-23 00:00:00,02/23/2026-04/10/2026,48,Closing - Permanent,Southern 8,Illinois,No,Manufacturing - Motor Vehicle Parts
Illinois,"First Brands Group, LLC (Albion Oil Facility)",Albion,2026-02-23 00:00:00,02/23/2026-04/10/2026,435,Closing - Permanent,Southern 8,Illinois,No,Manufacturing - Motor Vehicle Parts
Illinois,"First Brands Group, LLC (Albion Shared Services)","Albion, Fairfield",2026-02-23 00:00:00,02/23/2026-04/10/2026,45,Closing - Permanent,Southern 8,Illinois,No,Manufacturing - Motor Vehicle Parts
Illinois,"H&M Fashion USA, Inc.",Chicago,2026-02-20 00:00:00,2026-05-07 00:00:00,181,Layoff - Permanent,Northeast 4,Illinois,No,Clothing & Clothing Accessories Retailers
Illinois,Heartland Human Care Services,Chicago,2026-02-17 00:00:00,03/31/2026-04/01/2026,145,Closing - Permanent,Northeast 4,Illinois,Yes,Human Rights Organization
Illinois,"Panera, LLC (Panera Bread)",Elk Grove Village,2026-02-13 00:00:00,03/25/2026-03/27/2026,119,Closing - Permanent,Northeast 4,Illinois,No,Limited-Service Restaurants
Illinois,Walgreens,Deerfield,2026-02-10 00:00:00,2026-02-10 00:00:00,416,Layoff - Permanent,Northeast 4,Illinois,No,Pharmacies and Drug Retailers
Illinois,Walgreens,Chicago,2026-02-10 00:00:00,2026-02-10 00:00:00,52,Layoff - Permanent,Northeast 4,Illinois,No,Pharmacies and Drug Retailers
Illinois,Walgreens,Danville,2026-02-10 00:00:00,2026-02-10 00:00:00,1,Layoff - Permanent,East Central 2,Illinois,No,Pharmacies and Drug Retailers
Illinois,"Franciscan Alliance, Inc. dba Franciscan Health Olympia Fields",Olympa,2026-02-05 00:00:00,2026-04-01 00:00:00,1535,Closing - Permanent,Northeast 4,Illinois,No,General Medical and Surgical Hospitals
Illinois,"Franciscan Alliance, Inc. dba Specialty Physicians of Illinois, LLC",Chicago Heights,2026-02-05 00:00:00,2026-04-01 00:00:00,329,Closing - Permanent,Northeast 4,Illinois,No,Office of Physicians
Illinois,"First Brands Group, LLC",McHenry,2026-02-03 00:00:00,02/23/2026-04/10/2026,389,Closing - Permanent,Northeast 4,Illinois,No,Manufacturing - Motor Vehicle Parts
Illinois,Wells Fargo,Rosemont,2026-02-03 00:00:00,03/06/2026-04/04/2026,41,Layoff - Permanent,Northeast 4,Illinois,No,Commercial Banking
