state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,
Indiana,"Snyder’s-Lance, Inc d/b/a Campbell Snacks",Jeffersonville,06/18/2026,09/15/2026,111,CL,311919 | Other Snack Food Manufacturing,/dwd/files/warnnotices/Campbells WARN.pdf?language_id=1
Indiana,humano LLC,Avon,06/17/2026,08/17/2026,586,CL,488510 | Freight Transportation Arrangement,/dwd/files/warnnotices/humano WARN - for state submission 06.16.2026 (rev.2).pdf?language_id=1
Indiana,"SIMOS Insourcing Solutions, LLC",Avon,06/17/2026,08/17/2026,572,LO,48-49 | Transportation and Warehousing,/dwd/files/warnnotices/SIMOS 7932Government WARN Notice.pdf?language_id=1
Indiana,Ryder Integrated Logistics,Plainfield,06/08/2026,07/31/2026,76,LO,48-49 | Transportation and Warehousing,/dwd/files/warnnotices/WARN Notice to Government Officials - Ryder Plainfield Smith Rd - Final.pdf?language_id=1
Indiana,Noble Inc,Indianapolis,06/02/2026,06/02/2026,85,LO,624120 | Services for the Elderly and Persons with Disabilities,"/dwd/files/warnnotices/Noble WARN June 2, 2026.pdf?language_id=1"
Indiana,"Eclipse Advantage, LLC",Whitestown,05/19/2026,07/18/2026,21,CL,493190 | Other Warehousing and Storage,/dwd/files/warnnotices/Eclipse Advantage Whitestown Indiana WARN Notice to Public Officials_05192026.pdf
Indiana,CICOA Aging & In-Home Solutions,Indianapolis,04/30/2026,05/15/2026,90,LO,62 | Health Care and Social Assistance,/dwd/files/warnnotices/Cicoa DWD Letter 4-30-26 (1).pdf
Indiana,Cummins Inc,Whitestown,05/01/2026,07/31/2020,59,CL,333618 | Other Engine Equipment Manufacturing,/dwd/files/warnnotices/Cummins - Whitestown IN WARN NOTICE - STATE AND LOCAL GOV'T OFFICIALS (2026).pdf
Indiana,"Oakland City University, Inc",Oakland City,04/01/2026,06/01/2026,167,LO,61 | Educational Services,/dwd/files/warnnotices/WARN-letter-Oakland-City-University-letter.pdf
Indiana,RESRG Automotive,Evansville,04/14/2026,06/06/2026,266,CL,336110 | Automotive Manufacturing,/dwd/files/warnnotices/RESRG-WARN-Notice-Public-Officials.pdf
Indiana,"WIT Logistics, LLC",Plainfield,03/13/2026,05/31/2026,65,CL,"541614 | Process, Physical Distribution, and Logistics Consulting Services",/dA/ad3dd87ca6/Walker_SCM_WARN_Notice_Plainfield_IN-20260310.pdf?language_id=1
Indiana,Kem Krest LLC,Carmel,03/10/2026,08/31/2026,77,CL,48-49 | Transportation and Warehousing,/dA/f3fc87aa02/Kem-Krest-WARN-Act-Notice-to-IN-DWD-Carmel-IN-plant-closing.pdf?language_id=1
Indiana,"First Brands Group, LLC",Jasper,02/27/2026,04/30/2026,345,CL,31-33 | Manufacturing,/dA/f1ad802812/Jasper-WARN-Notice-All-Government-Contacts-.pdf?language_id=1
Indiana,"First Brands Group, LLC",Logansport,02/27/2026,04/30/2026,38,CL,31-33 | Manufacturing,/dA/7fa9121638/Logansport-WARN-Notice-All-Government-Contacts.pdf?language_id=1
Indiana,"Grouper Acquisition Company, LLC, dba Shiloh Industries, Inc",Goshen,02/02/2026,03/31/2026,172,CL,336370 | Motor Vehicle Metal Stamping,/dA/5bf1b55227/Government-WARN-Letter-Goshen.pdf?language_id=1
Indiana,National Distribution Centers,Lebanon,01/30/2026,04/03/2026,53,CL,48-49 | Manufacturing and Warehousing,/dA/38dd5d0956/Lebanon-WARN-Notice-Public-Officials-1-30-26.pdf?language_id=1
Indiana,"Inari Agriculture, Inc.",West Lafayette,01/20/2026,01/20/2026,64,LO,"11 | Agriculture, Forestry, Fishing, and Hunting",/dA/7b0e3585cf/2026-WARN-Notification-DWD-sent.pdf?language_id=1
Indiana,Margaret Mary Community Hospital (dba Margaret Mary Health),Batesville,01/13/2026,03/02/2026,55,TR,622 | Hospitals,/dA/0798ab111e/Margaret-Mary-Health-WARN.pdf?language_id=1
Indiana,Wabash,Goshen,01/05/2026,03/06/2026,144,CL,48-49 | Transportation and Warehousing,/dA/8795a4a171/Wabash-Goshen-WARN-Notice.pdf?language_id=1
Indiana,Dalton Corporation,Warsaw,12/29/2025,02/27/2026,257,CL,31-33 | Manufacturing,/dA/49d41c028b/Dalton-Corporation-WARN-Notice.pdf?language_id=1
Indiana,AAR Aircraft Services,Indianapolis,12/23/2025,02/15/2026,329,CL,31-33 | Manufacturing,/dA/456785887c/WARN-AAR.pdf?language_id=1
Indiana,Spartech LLC,Muncie,12/12/2025,12/23/2025,125,CL,325211 | Plastics Material and Resin Manufacturing,/dA/194b926e0b/Spartech-Muncie-WARN-Notice.pdf?language_id=1
Indiana,FreshRealm,Indianapolis,12/02/2025,01/31/2026,168,CL,72 | Accommodation and Food Services,/dA/012f16c617/WARN-FreshRealm.pdf?language_id=1
Indiana,Kloeckner Metals,Indianapolis,11/18/2025,01/20/2026,54,LO,423510 | Metal Service Centers and Other Metal Merchant Wholesalers,/dA/c83159ccc7/Kloeckner-WARN-Notice.pdf?language_id=1
Indiana,MDWise,Indianapolis,11/13/2025,01/16/2026,238,CL,5241 | Insurance Carriers,/dA/231703dae1/MDWise-WARN.pdf?language_id=1
Indiana,"JMS Engineered Plastics, Inc.",South Bend,10/29/2025,10/29/2025,49,LO,326199 | All Other Plastics Product Manufacturing,/dA/5f15a4b3d8/JMS-Plastics.pdf?language_id=1
Indiana,"Freudenberg Residential Filtration Technologies, Inc.",LaPorte,10/06/2025,12/05/2025,173,CL,31-33 | Manufacturing,/dA/000ac96565/WARN-Freudenberg.pdf?language_id=1
Indiana,"GT Industries, Inc.",North Vernon,09/29/2025,12/01/2025,95,LO,336370 | Motor Vehicle Metal Stamping,/dA/db3521c01f/WARN-GTI-2025-09-29.pdf?language_id=1
Indiana,Raydia Food Group,"Bloomington, Mishawaka, South Bend",09/19/2025,11/26/2025,200,CL,445 | Food and Beverage Retailers,/dA/e2ca56a263/WARN-Raydia.pdf?language_id=1
Indiana,Perdue Foods LLC,Washington,09/03/2025,11/02/2025,293,LO,311615 | Poultry Processing,/dA/b4d8ea7ed8/Perdue-WARN-Notice-2025-09-03.pdf?language_id=1
Indiana,"Thermal Structures, Inc.",Plainfield,08/25/2025,"11/24/2025 – 11/26/2025, 12/29/2025 – 12/30/2025",155,CL (Holiday),336390 | Other Motor Vehicle Parts Manufacturing,/dA/3794ef1770/WARN-Thermal-Structures-Inc-2025-08-25.pdf?language_id=1
Indiana,"National Distribution Centers, LLC & NFI Interactive Logistics, LLC",Lebanon,08/13/2025,10/18/2025,79,CL,48-49 | Transportation and Warehousing,/dA/cd7d5efe16/WARN_Lebanon_8-13-25.pdf?language_id=1
Indiana,Navient Solutions LLC,Fishers,08/04/2025,10/03/2025,128,L/O,52 | Finance and Insurance,/dA/7f26ce73a4/WARN-Navient.pdf?language_id=1
Indiana,ASM Global/ Old National Event Plaza,Evansville,08/01/2025,09/01/2025,248,TR,"71 | Arts, Entertainment, and Recreation",/dA/6044399370/WARN-ASM-Global.pdf?language_id=1
Indiana,"Shine Early Learning, Inc",Fishers,08/05/2025,10/01/2025,57,LO,624110 | Child Care Services,/dA/907850efef/20250805-WARN-Shine-Early-Learning.pdf?language_id=1
Indiana,Target Corp. Distribution Center,Indianapolis,08/05/2025,09/19/2025,201,CL,48-49 | Transportation and Warehousing,/dA/42ffd2dffb/20250805-WARN-Target-Corp.pdf?language_id=1
Indiana,Community Development Institute Head Start,Richmond,07/31/2025,09/30/2025,65,CL,624110 | Child Care Services,/dA/c6aa7b05eb/20250731-WARN-Community-Development-Institute-Head-Start.pdf?language_id=1
Indiana,Columbus Regional Health,Columbus,06/24/2025,08/23/2025,50,CL,62199900 | All Other Miscellaneous Ambulatory Health Care Services,/dA/1d0792fdeb/Columbus-Regional-Health-WARN.pdf?language_id=1
Indiana,General Aluminum,Huntington,08/29/2025,12/14/2025,62,CL,331524 | Aluminum Foundries (except Die-Casting),/dA/db896d72ea/General-Aluminum-WARN.pdf?language_id=1
Indiana,"Hoffmaster Group, Inc",Fort Wayne,05/13/2025,11/07/2025,53,CL,322 | Paper Manufacturing,/dA/d2d5169941/Hoffmaster-Group-Inc-WARN.pdf?language_id=1
Indiana,NFI Industries,Crown Point,05/02/2025,07/25/2025,78,CL,493 | Warehousing and Storage,/dA/60787ec7ec/NFI-Industries-WARN.pdf?language_id=1
Indiana,SSC Services for Education dba South Bend School District,South Bend,04/23/2025,06/30/2025,203,CL,611 | Education Services,/dA/c8cc55382b/SSC-Services-for-Education-dba-South-Bend-School-District-WARN.pdf?language_id=1
Indiana,SSC Services for Education dba Muncie Community Schools,Muncie,04/23/2025,06/30/2025,58,CL,611 | Education Services,/dA/3fdebec9bc/SSC-Services-for-Education-dba-Muncie-Community-Schools-WARN.pdf?language_id=1
Indiana,"DRV, LLC",Howe,04/21/2025,06/20/2025,51,CL,44121000 | Recreational Vehicle Dealers,/dA/fa85b0acc7/DRV-LLC-WARN.pdf?language_id=1
Indiana,Cruiser RV,Howe,04/21/2025,06/20/2025,251,CL,3362 | Motor Vehicle Body and Trailer Manufacturing,/dA/3d7da4b041/Cruiser-RV-WARN.pdf?language_id=1
Indiana,"Heartland Recreational Vehicles, LLC",Elkhart,04/21/2025,06/20/2025,147,CL,336214 | Travel Trailer and Camper Manufacturing,/dA/cfcf8a9b8a/HRV-Elkhart-WARN.pdf?language_id=1
Indiana,Nachi Technology Inc (NTI),Greenwood,03/19/2025,12/31/2025,72,CL,33221600 | Saw Blade and Hand tool Manufacturing,/dA/c58298f5bb/Nachi-Technology-Inc-WARN.pdf?language_id=1
Indiana,RR Donnelley,Seymour,03/04/2025,05/03/2025,96,CL,541860 | Direct Mail Advertising,/dA/5a1fbde430/RR-Donnelley-WARN.pdf?language_id=1
Indiana,ABM,Indianapolis,02/28/2025,04/30/2025,77,CL,561720 | Janitorial Services,/dA/522cdab8d3/ABM-WARN.pdf?language_id=1
Indiana,Jack Cooper Transport Company,Roanoke,02/08/2025,02/08/2025,251,CL,"484230 | Specialized Freight (except Used Goods) Trucking, Long-Distance",/dA/9297c2320b/Jack-Cooper-Transport-WARN.pdf?language_id=1
