state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,State,Number of Workers,WARN Received Date,Closure/Layoff,Temporary/Permanent,Union,Notes
Kentucky,SMBC Manubank,,,10/09/2026,,,522110,Kentucky,1,08/10/2026,Closure,,Non-Union,
Kentucky,80 Acres Farm,,,08/03/2026,,,Northern Kentucky | Boone | 11141,Kentucky,127,08/03/2026,Closure,,Non-Union,
Kentucky,Battelle Memorial Institute E3,,,09/24/2026,,,Bluegrass | Madison | 541715,Kentucky,1,07/23/2026,Closure,,Non-Union,
Kentucky,Geodis,,,09/08/2026,,,Northern Kentucky | Boone | 493110,Kentucky,73,07/10/2026,Layoff,,Non-Union,
Kentucky,Levi Strauss & Co,,,08/30/2026,,,Northern Kentucky | Boone | 315250,Kentucky,303,06/30/2026,Closure,,Both,
Kentucky,"Conduent Commercial Solutions, LLC",Louisville,,08/28/2026,,,Kentuckiana Works | Jefferson | 561110,Kentucky,24,06/29/2026,Layoff,,Non-Union,
Kentucky,"Congo Brands (Alani, Prime, 3D Energy)",,,08/26/2026,,,Kentuckiana Works | Jefferson | 312111,Kentucky,28,06/26/2026,,,Non-Union,
Kentucky,"RNDC of Kentucky, LLC",Louisville,,08/17/2026,,,Kentuckiana Works | Jefferson | 424820,Kentucky,174,06/18/2026,Closure,,,
Kentucky,Vestis,,,08/15/2026,,,Bluegrass | Fayette | 812332,Kentucky,32,06/16/2026,Closure,,Non-Union,
Kentucky,Carrier Corporation (Franklin Operation),,,08/30/2026,,,South Central | Simpson | 333415,Kentucky,70,06/12/2026,Closure,,Non-Union,
Kentucky,Battelle Memorial Institute E3,,,07/06/2026,,,Bluegrass | Madison | 541715,Kentucky,3,05/07/2026,Closure,,,
Kentucky,"University of Kentucky College of Medicine, Department of Behavioral Science",,,06/30/2026,,,Bluegrass | Fayette | 611310,Kentucky,36,05/05/2026,Layoff,,Non-Union,
Kentucky,UK HealthCare-HIV Program Operations (KIRP),,,06/30/2026,,,Bluegrass | Fayette | 611310,Kentucky,61,05/05/2026,Closure,,Non-Union,
Kentucky,Stella-Jones Corporation,,,07/01/2026,,,Western Kentucky | Fulton | 321114,Kentucky,67,04/30/2026,Closure,,Non-Union,
Kentucky,"Aramark Campus, LLC",,,06/30/2026,,,Bluegrass | Fayette | 722310,Kentucky,923,04/29/2026,Closure,,Both,
