state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,State,Number of Workers,WARN Received Date,Closure/Layoff,Temporary/Permanent,Union,Notes
Louisiana,Einstein Charter Schools,New Orleans,,05/30/2026,,,Education,Louisiana,81,03/30/2026,,,,"5316 Michoud Boulevard New Orleans, LA 70129"
Louisiana,Stockhausen Superabsorber LLC,Garyville,,04/03/2026,,,Chemical Manufacturing,Louisiana,64,02/03/2026,,,,
Louisiana,Denka Performance Elastomer LLC,LaPlace,,04/01/2026,,,Chemical Manufacturing,Louisiana,45,01/30/2026,,,,
Louisiana,McGlinchey Stafford PLLC,New Orleans,,03/16/2026,,,Legal Services,Louisiana,101,01/13/2026,,,,
Louisiana,Westlake Corporation,Lake Charles,,12/14/2026,,,Petrochemical Manufacturing,Louisiana,121,12/15/2025,,,,
Louisiana,"Premier Health Consultants, LLC (Premier Health Urgent Care)",,,12/31/2025,,,Healthcare / Urgent Care Services,Louisiana,140,10/31/2025,,,,
Louisiana,"SafeSource Direct, L.L.C. – MMF PPE Manufacturing Facility",,,10/21/2025,,,PPE Manufacturing (Man-Made Fiber),Louisiana,87,08/22/2025,,,,
Louisiana,"SafeSource Direct, L.L.C. – MMF Facility (Second WARN)",,,11/25/2025,,,PPE Manufacturing (Man-Made Fiber),Louisiana,56,09/16/2025,,,,
Louisiana,"SafeSource Direct, L.L.C. – Nitrile Plant Facility",,,10/21/2025,,,PPE / Chemical Manufacturing,Louisiana,454,08/22/2025,,,,
Louisiana,Ensco Offshore LLC – DS-18 Drilling Rig,,,02/10/2026,,,Offshore Oil & Gas Drilling,Louisiana,75,12/05/2025,,,,
Louisiana,"The Service Companies, Inc. (Full Service Systems Corp.) – Horseshoe",Bossier City,,02/01/2026,,,Hospitality / Facilities Services,Louisiana,76,12/02/2025,,,,
Louisiana,General Dynamics Information Technology (GDIT),,,11/14/2025,,,IT Services / Federal Contracting,Louisiana,103,11/14/2025,,,,
Louisiana,"SafeSource Direct, LLC",Broussard,,10/21/2025,,,Manufacturing,Louisiana,541,08/22/2025,,,,
Louisiana,Smitty's Supply Inc,Roseland,,08/22/2025,,,Manufacturing,Louisiana,450,08/25/2025,,,,
Louisiana,PosiGen Developer LLC,St. Rose,,08/25/2025,,,Renewable Energy,Louisiana,166,08/25/2025,,,,
Louisiana,UPS (rescinded 09/05/2025),New Orleans,,09/08/2025,,,Transportation and Logistics,Louisiana,177,07/10/2025,,,,
Louisiana,Albertsons Baton Rouge #0709,Baton Rouge,,08/16/2025,,,Food and Beverage,Louisiana,90,06/11/2025,,,,
Louisiana,Roux 61,Baton Rouge,,05/31/2025,,,Food and Beverage,Louisiana,50,05/31/2025,,,,
Louisiana,Sodexo,New Orleans,,07/14/2025,,,Food and Beverage,Louisiana,881,05/16/2025,,,,
Louisiana,Syncom Space Services,New Orleans,,06/30/2025,,,Manufacturing,Louisiana,296,05/15/2025,,,,
Louisiana,Cornerstone Chemical Company,Waggaman,,07/31/2025-12/31/2025,,,Petrochemical Manufacturing,Louisiana,71,05/05/2025,,,,
Louisiana,Federal Express Corporation (BTRA Facility),Baton Rouge,,06/30/2025,,,Couriers and Express Delivery Services,Louisiana,74,04/30/2025,,,,
Louisiana,"IDEA Southern Louisiana (IDEA Innovation, IDEA Bridge)",Baton Rouge,,05/24/2025,,,Education,Louisiana,212,04/07/2025,,,,
Louisiana,Southern Glazer's Wine and Spirits of Louisiana,Lafayette,,05/16/2025,,,Sales and Distribution,Louisiana,48,03/14/2025,,,,
Louisiana,General Dynamics Information Technology,New Orleans,,05/14/2025,,,Information Technology,Louisiana,77,03/07/2025,,,,
Louisiana,Boeing Company,New Orleans,,04/18/2025,,,Manufacturing,Louisiana,89,02/15/2025,,,,
Louisiana,International Paper Company,Campti,,04/13/2025,,,Manufacturing,Louisiana,481,02/13/2025,,,,
Louisiana,Dr. Eddy’s Laboratories,Shreveport,,03/14/2025,,,Manufacturing,Louisiana,107,01/07/2025,,,,
Louisiana,Brown Eagle Contractors,St. Gabriel,,01/16/2025,,,Service,Louisiana,122,11/18/2024,,,,
Louisiana,Kaleo,"Richmond, VA",,11/30/2024,,,Retail Sales - Medical,Louisiana,1,09/30/2024,,,,58 affected nationwide
Louisiana,"Lost Boys Interactive, LLC",Remote,,09/09/2024,,,Software Publisher/Video Game Developer,Louisiana,3,09/09/2024,,,,139 affected nationwide
Louisiana,Young Williams,Bossier City,,10/31/2024,,,Call Center - Telemarketing Bureaus and Other Contact Centers,Louisiana,106,09/03/2024,,,,
Louisiana,"Sodexo, Inc and Affiliates - St. Francis ES",Monroe,,09/30/2024,,,Facilities Management,Louisiana,99,08/19/2024,,,,
Louisiana,Amentum,New Orleans,,09/02/2024,,,Other Support Activities/Air Transportation,Louisiana,102,07/31/2024,,,,
Louisiana,First Guaranty Bank,Hammond,,09/20/2024,,,Banking and Financial Institutions,Louisiana,,07/23/2024,,,,
Louisiana,Flowers Baking Co,Baton Rouge,,09/16/2024,,,Manufacturing,Louisiana,70,07/18/2024,,,,
