state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,ZIP
Maine,Sonoco,Scarborough,03/13/2025,,,WARN,4 - Coastal Counties Local Area 4,04074
Maine,SMBC-Sumitomo Mitsui Banking Corporation,New York,01/13/2026,,,WARN,3 - Central Western Local Area 3,10172
Maine,US Cellular,Washington,04/07/2025,,,WARN,3 - Central Western Local Area 3,20019
Maine,Pride Manufacturing -gathr Outdoors,Burnham,01/13/2026,,,WARN,4 - Coastal Counties Local Area 4,04922
Maine,Northern Light - Inland Hospital,Waterville,03/25/2025,,,WARN,3 - Central Western Local Area 3,04901
Maine,Charter Communications,Portland,12/10/2025,,,WARN,4 - Coastal Counties Local Area 4,04103
Maine,Bon Appetit,Waterville,04/10/2025,,,WARN,3 - Central Western Local Area 3,04901
Maine,Trans Axle,Westbrook,05/16/2025,,,WARN,3 - Central Western Local Area 3,04092
Maine,Loring Job Corps Center,Limestone,06/03/2025,,,WARN,1 - Northeastern Workforce Board,04750
Maine,SP+ Parking,Portland,06/02/2026,,,WARN,4 - Coastal Counties Local Area 4,04101
