state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,NAICS  Code,Local Area,Total  Employees,Effective  Date
Maryland,Crosby Marketing Communications,"705 Melvin Avenue Annapolis, MD 21401",08/25/2026,,,Mass Layoff- No Recall,,541810,Anne Arundel County,20,10/30/2026
Maryland,Amentum,"7710 Milestone Parkway Hanover, MD 21076",08/18/2026,,,Mass Layoff- No Recall,,541330,Anne Arundel County,65,11/13/2026
Maryland,Amentum,"7710 Milestone Parkway Hanover, MD 21076",08/18/2026,,,Mass Layoff- No Recall,,561210,Anne Arundel County,317,10/31/2026
Maryland,Stanley Black & Decker,"625 Hanover Pike Hampstead, MD 21074",08/19/2026,,,Plant Closure,,332510,Carroll,55,10/23/2026 - 03/26/2027
Maryland,"Mulford Construction Co., Inc.","PO Box 60 Barstow, MD 20610",08/14/2026,,,Plant Closure,,238990,Southern Maryland,69,08/17/2026
Maryland,"Kolon TissueGene, Inc.","9713 Key West Avenue, Rockville Maryland 20850",08/14/2026,,,Mass Layoff - No Recall,,541714,Montgomery County,37,08/31/2026
Maryland,"Savista, LLC","4920 Elm Street Bethesda, MD 20814",08/14/2026,,,Mass Layoff- No Recall,,561110,Montgomery County,39,10/15/2026 - 12/31/2026
Maryland,SMBC Manubank,"277 Park Avenue New York, NY 10172",08/10/2026,,,Mass Layoff - No Recall,,522110,Statewide,2 (Remote workers in MD),10/09/2026
Maryland,Grassroots Crisis Intervention Center,"8990 Old Annapolis Road, Ste. A, Columbia, MD 21045",08/06/2026,,,Mass-Layoff - No Recall,,624190,Howard County,60,9/29/2026
Maryland,"Karna, LLC","6404 Ivy Lane, Suite 620, Greenbelt, MD 20770",08/06/2026,,,Plant Closure,,541990,Prince Georgeâs County,38,11/30/2026
Maryland,"Emergent Biosolutions, Inc.","300 Professional Drive, Gaithersburg, MD 20879",08/05/2026,,,Mass Layoff - No Recall,,541715,Montgomery County,34,10/04/2026
Maryland,EchoStar Corporation (Lakewood facility),"100 Lakeforest Blvd. Gaithersburg, MD 20877",07/24/2026,,,Mass Layoff - No Recall,,334220,Montgomery County,42,09/22/2026
Maryland,EchoStar Corporation (Germantown EXM facility),"11717 Exploration Lane Germantown, MD 20876",07/24/2026,,,Mass Layoff - No Recall,,334220,Montgomery County,48,09/22/2026
Maryland,EchoStar Corporation (Germantown EXP facility),"19710 Observation Drive Germantown, MD 20876",07/24/2026,,,Mass Layoff - No Recall,,334220,Montgomery County,240,09/22/2026
Maryland,RP Professional Services LLC,"44927 George Washington Blvd. Ashburn, VA 20147",07/24/2026,,,Mass Layoff - No Recall,,541611,Statewide,4(Remote workers in MD),09/24/2026
Maryland,"Taft Broadcasting, LLC",6700 Taylor Avenue,07/20/2026,,,Mass Layoff - No Recall,,541990,Anne Arundel,2,09/30/2026
