state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,State,Union,Industry
Massachusetts,"*Updated* Community Healthlink, Inc. (aka CHL)","Leominster, Webster, Worcester",2026-06-26 00:00:00,2026-08-31 00:00:00,131,,Central,Massachusetts,,
Massachusetts,"Peabody Opco, LLC (fka Christianbook, LLC) and Peabody Fulfillment, LLC (fka Christianbook Fulfillment, LLC) (aka Christianbook Entities)",Peabody,2026-06-24 00:00:00,2026-08-31 00:00:00,125,,Northeast,Massachusetts,,
Massachusetts,The Coca-Cola Company,Northampton,2026-06-15 00:00:00,08/15/2026-11/30/2026,175,,Western,Massachusetts,,
Massachusetts,SMBC Manubank dba JeniusBank,Statewide,2026-06-05 00:00:00,2026-08-03 00:00:00,2,,Statewide,Massachusetts,,
Massachusetts,"*Updated* Community Healthlink, Inc. aka CHL","Leominster, Webster, Worcester",2026-06-04 00:00:00,2026-07-31 00:00:00,127,,Central,Massachusetts,,
Massachusetts,Jabil Inc. aka Jabal - Clinton JHC,Clinton,2026-06-02 00:00:00,08/01/2026-12/01/2026,103,,Central,Massachusetts,,
Massachusetts,Chase Corporation,Oxford,2026-06-01 00:00:00,08/01/2026-12/31/2026,72,,Central,Massachusetts,,
Massachusetts,*Updated* South Shore Elder Services,Braintree,2026-05-26 00:00:00,06/01/2026-6/30/2026,131,,Southeast,Massachusetts,,
Massachusetts,"MCAT, LLC (dba Harborview Treatment)",Cohasset,2026-05-21 00:00:00,2026-05-20 00:00:00,66,,Southeast,Massachusetts,,
Massachusetts,"*Updated* WestRock Services, LLC (aka WestRock and Smurfit Westrock)",Wakefield,2026-05-18 00:00:00,05/18/2026-05/31/2026,24,,Boston,Massachusetts,,
Massachusetts,"Aramark Campus, LLC (dba Aramark)",Lowell,2026-05-13 00:00:00,2026-07-14 00:00:00,54,,Northeast,Massachusetts,,
Massachusetts,"Dover Saddlery, Inc.",Littleton,2026-05-07 00:00:00,07/07/2026-07/20/2026,112,,Central,Massachusetts,,
Massachusetts,"*Updated* Community Healthlink, Inc. (aka CHL)","Leominster, Webster, Worcester",2026-05-07 00:00:00,06/30/2026-07/06/2026,84,,Central,Massachusetts,,
Massachusetts,"Christianbook, LLC and Christianbook Fulfillment, LLC (dba Christianbook Entities)",Peabody,2026-05-05 00:00:00,2026-07-06 00:00:00,50,,Northeast,Massachusetts,,
Massachusetts,Managed Services-IDS (dba Cardinal Health),Tewksbury,2026-05-01 00:00:00,2026-06-30 00:00:00,58,,Northeast,Massachusetts,,
Massachusetts,Community Counseling of Bristol County (aka CCBC),"Attleboro, Brockton, Fall River, New Bedford, Taunton",2026-05-01 00:00:00,06/30/2026-07/13/2026,52,,Southeast,Massachusetts,,
Massachusetts,"Compass Group USA, Inc.",Boston,2026-05-01 00:00:00,2026-07-01 00:00:00,83,,Boston,Massachusetts,,
Massachusetts,"Community Healthlink, Inc. (aka CHL)","Leominster, Webster, Worcester",2026-05-01 00:00:00,2026-06-30 00:00:00,78,,Central,Massachusetts,,
Massachusetts,"Innovative Care Partners, LLC (aka ICP)","Northampton, Pittsfield, West Springfield",2026-04-29 00:00:00,2026-06-30 00:00:00,70,,Western,Massachusetts,,
Massachusetts,Anna Maria College,Paxton,2026-04-23 00:00:00,06/22/2026-06/30/2026,150,,Central,Massachusetts,,
Massachusetts,KAC Logistics,East Taunton,2026-04-22 00:00:00,2026-06-16 00:00:00,40,,Southeast,Massachusetts,,
Massachusetts,Hampshire College,Amherst,2026-04-21 00:00:00,06/16/2026-12/31/2026,199,,Western,Massachusetts,,
Massachusetts,"Replimune, Inc.",Framingham,2026-04-17 00:00:00,04/17/2026-04/24/2026,80,,Metro Southwest,Massachusetts,,
Massachusetts,"*Updated* Replimune, Inc.",Woburn,2026-04-17 00:00:00,04/17/2026-04/24/2026,81,,Boston,Massachusetts,,
Massachusetts,Aloha Logistics LLC,Taunton,2026-04-15 00:00:00,2026-04-17 00:00:00,10,,Southeast,Massachusetts,,
Massachusetts,"Replimune, Inc.",Woburn,2026-04-13 00:00:00,04/13/2026-04/24/2026,63,,Boston,Massachusetts,,
Massachusetts,South Shore Elder Services,Braintree,2026-04-03 00:00:00,06/01/2026-06/30/2026,52,,Southeast,Massachusetts,,
Massachusetts,"Clover Fast Food, Inc. (Clover)",Cambridge,2026-03-30 00:00:00,2026-05-29 00:00:00,182,,Boston,Massachusetts,,
Massachusetts,Walmart,Worcester,2026-03-29 00:00:00,2026-05-29 00:00:00,90,,Central,Massachusetts,,
Massachusetts,"Takeda Pharmaceuticals USA, Inc. dba Takeda",Cambridge,2026-03-25 00:00:00,07/01/2026-12/31/2027,247,,Boston,Massachusetts,,
Massachusetts,*Updated* Charles River Laboratories,Wilmington,2026-03-25 00:00:00,04/24/2026-07/10/2026,71,,Boston,Massachusetts,,
Massachusetts,"*Updated* Revvity, Inc.",Boston,2026-03-24 00:00:00,06/01/2026-03/31/2027,29,,Boston,Massachusetts,,
Massachusetts,"Compass Grou USA, Inc. dba Chartwells",Boston,2026-03-24 00:00:00,2026-05-27 00:00:00,76,,Boston,Massachusetts,,
Massachusetts,"WestRock Services, LLC (aka WestRock or Westrock Smurfit)",Wakefield,2026-03-18 00:00:00,2026-05-18 00:00:00,91,,Boston,Massachusetts,,
Massachusetts,*Updated* Boston Electrometallurgical Corporation (dba Boston Metal),Woburn,2026-03-12 00:00:00,2026-04-21 00:00:00,71,,Boston,Massachusetts,,
