state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
Michigan,Samaritas,"Grand Rapids, Michigan",,,58,Facility closure,Kent
Michigan,"Day & Ross USA, Inc.","Livonia, Michigan",,05/30/2026,32,Layoff,Wayne
Michigan,Siena Heights University,"Adrian, Michigan",,5/9/26-6/19/26,132,Closure,Lenawee
Michigan,"Compass Group USA, Inc.","Madison Heights, Michigan",,04/06/2026,114,Facility closure,Oakland
Michigan,"Pace Industries, LLC","Muskegon, Michigan",,,145,Facility closure,Muskegon
Michigan,"General Shale, DBA Michigan Brick","Corunna, Michigan",,,48,Facility closure,Shiawassee
Michigan,"Main Street Sports Group, LLC","Detroit, Michigan",,04/14/2026,17,Facility closure,Wayne
Michigan,"GMRI, Inc., DBA Bahama Breeze","Livonia, Michigan",,,66,Company closure,Wayne
Michigan,"Grouper Acquisition Company, Inc.","Galesburg, Michigan",,,160,Company closure,Kalamazoo
Michigan,"Fluresh, LLC","Grand Rapids, Michigan",,,15,Company closure,Kent
Michigan,Our Next Energy,"Novi, Michigan",,01/06/2026,29,Layoff,Oakland
Michigan,"Great Lakes Coca-Cola Distribution, LLC","Lansing, Michigan",,04/03/2026,161,Closure,Ingham
Michigan,"Labcorp Early Development Laboratories, Inc., and Laboratory Corporation of America Holdings (“Labcorp”)","Ann Arbor, Michigan",,03/09/2026,76,Facility closure,Washtenaw
Michigan,Mercedes-Benz Financial Services USA LLC,"Farmington Hills, Michigan",,,265,Company closure,Oakland
Michigan,"C3 Industries, Inc.","Webberville, Michigan",,02/14/2026,62,Closure,Ingham
Michigan,The Common Ground Sanctuary,"Pontiac, Michigan",,02/16/2026,155,Layoff,Oakland
Michigan,Factory ZERO Detroit-Hamtramck Assembly Center,"Detroit, Michigan",,01/05/2026,"1,140",Layoff,Wayne
Michigan,United Parcel Service (UPS),"Wyoming, Michigan",,,67,Layoff,Kent
Michigan,"Oakland Stamping LLC, DBA AUTOKINITON","Detroit, Michigan",,,201,Facility closure,Wayne
Michigan,"Post Consumer Brands, LLC","Battle Creek, Michigan",,,71,Layoff,Calhoun
Michigan,Yanfeng,"Romulus, Michigan",,01/05/2026,192,Layoff,Wayne
Michigan,Avancez,"Hazel Park, Michigan",,12/05/2025,143,Layoff,Oakland
Michigan,The Taubman Company LLC,"Bloomfield Hills, Michigan",,01/09/2026,105,Facility closure,Oakland
Michigan,Inline Plastics,"Gladwin, Michigan",,01/11/2026,25,Facility closure,Gladwin
Michigan,"Freudenberg Battery Power Systems, LLC","Midland, Michigan",,,107,Company closure,Midland
Michigan,"Freudenberg Battery Power Systems, LLC","Auburn Hills, Michigan",,,83,Company closure,Oakland
Michigan,"XALT Energy MI, LLC","Midland, Michigan",,,123,Company closure,Midland
Michigan,"XALT Energy MI, LLC","Auburn Hills, Michigan",,,11,Company closure,Oakland
Michigan,Vista Maria,"Dearborn Heights, Michigan",,12/19/2025,154,Permanent layoff,Wayne
Michigan,"DTW North Partners JV, LLC",Detroit/Romulus,,,13,Temporary layoff,Wayne
Michigan,"Dana Thermal Products, LLC","Auburn Hills, Michigan",,10/09/2025,200,Closure,Oakland
Michigan,"IAC Mendon, LLC","Mendon, Michigan",,12/08/2025,178,Layoff,St. Joseph
Michigan,"IAC Alma, LLC","Alma, Michigan",,12/12/2025,72,Layoff,Gratiot
Michigan,"SimplyIOA, LLC",,,12/02/2025,1 remote Michigan worker,Facility closure,
Michigan,Anderton Machining,"Jackson, Michigan",,12/31/2025,41,Facility closure,Jackson
Michigan,"CNC Logistics, Inc.","Walker, Michigan",,08/27/2025,75,Facility closure,Kent
Michigan,Spirit Airlines,"Detroit, Michigan",,12/01/2025,103,Temporary layoff,Wayne
Michigan,Premier Care LLC,"Bloomfield Hills, Michigan",,11/01/2025,94,Layoff,Oakland
Michigan,Cole’s Quality Foods,"Muskegon, Michigan",,11/09/2025,175,Facility closure,Muskegon
Michigan,"Natron Energy, Inc.","Holland, Michigan",,09/03/2025,37,Closure,Ottawa (maybe Allegan as it falls into both)
Michigan,Akebono Brake Corporation,"Farmington Hills, Michigan",,10/01/2025,48,Layoff,Oakland
Michigan,DP World Contract Logistics US Inc.,"Warren, Michigan",,10/05/2025,70,Closure,Macomb
Michigan,"Davalor Mold Company, LLC","New Baltimore, Michigan",,10/03/2025,45,Layoff,Macomb
Michigan,"NPR of America, Inc.","Grand Haven, Michigan",,,64,Company closure,Ottawa
Michigan,"Community Development Institute Head Start/CDI HS Serving St. Clair County, MI","Port Huron, Michigan; Marie City, Michigan; Casco, Michigan; Yale, Michigan",,09/30/2025,60,Layoff,St. Clair
Michigan,"Utz Quality Foods, LLC","Grand Rapids, Michigan",,,75,Company closure,Kent
Michigan,"PepsiCo, Inc.","Detroit, Michigan",,08/25/2025,84,Layoff,Wayne
Michigan,SalonCentric,"Grand Rapids, Michigan",,,79,Facility closure,Kent
Michigan,Howard Miller Company,"Zeeland, Michigan and Traverse City, Michigan",,,"138 (133 Zeeland, 5 Traverse City)",Company closure,Ottawa and Grand Traverse
Michigan,BRP Marine US Inc.,"Lansing, Michigan",,,72,Mass layoff,Ingham
Michigan,Marshall Excelsior Co.,"Marshall, Michigan",,,71,Company Closure,Calhoun
Michigan,Lansing Entertainment and Public Facilities Authority (LEPFA),"Lansing, Michigan",,,181,Layoff,Ingham
Michigan,"Plasan North America, Inc.","Grand Rapids, Michigan",,,64,Mass layoff,Kent
Michigan,Webasto Roof Systems,"New Hudson, Michigan",,06/19/2025,62,Layoff,Oakland
Michigan,Auto Warehousing Company,"New Boston, Michigan",,09/01/2025,75,Facility closure,Wayne
Michigan,"Kelly Services USA, LLC",Statewide,,08/30/2025,47,Layoff,Statewide
Michigan,"TerrAscend Corp. (DBA: Gage Cannabis, Cookies, Lemonade and Pinnacle Emporium)","Statewide, multiple locations",,08/31/2025,236,Multiple facility closures,"Statewide, multiple locations"
Michigan,Oldcastle Building Envelope DBA Midwest Glass,"Highland, Michigan",,08/18/2025,124,Facility closure,Oakland
Michigan,Pratt (Classic Container) Inc.,"Livonia, Michigan",,08/10/2025,53,Mass layoff,Wayne
Michigan,LACROIX Electronics,"Grand Rapids, Michigan",,Commencing June 2025,115,Company closure,Kent
Michigan,"GMRI, Inc. DBA Bahama Breeze","Troy, Michigan",,05/15/2025,70,Facility closure,Oakland
Michigan,"Flagstar Bank, N.A.","Troy, Michigan",,06/30/2025,12,Layoff,Oakland
Michigan,"Panera, LLC Fresh Dough Facility","Romulus, Michigan",,07/23/2025,66,Facility closure,Wayne
Michigan,"Compass Group USA, Inc.",,,07/01/2025,244,Permanent layoff,
Michigan,"Quality Metalcraft, Inc.","Sterling Heights, Michigan and Livonia, Michigan",,"Beginning April 21, 2025",41,Permanent layoff,"Macomb, Wayne"
Michigan,Gannett Publishing,"Sterling Heights, Michigan",,"Beginning July 7, 2025",109,Closure,Macomb
Michigan,"Aramark Campus, LLC","Detroit, Michigan",,06/30/2025,137,Layoff,Wayne
Michigan,"Conagra Brands, Inc.","Fennville, Michigan",,,75,Closure,Allegan
Michigan,"Accelerate360 Distribution, LLC",Statewide,,06/28/2025,2 remote workers,Layoff,Statewide
Michigan,"Heartland Recreational Vehicles, LLC","Sturgis, Michigan",,,121,Closure,St. Joseph
Michigan,United States Cellular Corporation,Statewide,,06/02/2025,12 remote workers,Layoff,Statewide
Michigan,Tribar Technologies,"Wixom, Michigan",,,188,Closure,Oakland
Michigan,"Flagstar Bank, N.A.","Troy, Michigan",,06/08/2025,40,Layoff,Oakland
Michigan,"Concordia University, Inc.","Ann Arbor, Michigan",,05/31/2025,41,Layoff,Washtenaw
Michigan,"LNW Gaming, Inc.","Farmington Hills, Michigan",,04/27/2025,92,Closure,Oakland
Michigan,"Flagstar Bank, N.A.","Troy, Michigan",,04/22/2025,424,Layoff,Oakland
Michigan,Jack Cooper — Flint,"Flint, Michigan",,02/08/2025,101,Closure,Genesee
Michigan,"Sherwood Food Distributors, LLC; Harvest Meat Company Inc.; and Western Boxed Meat Inc.","Detroit, Michigan",,04/21/2025,255,Closure,Wayne
Michigan,Jack Cooper LLC,"Dimondale, Michigan",,02/08/2025,119,Closure,Eaton
Michigan,"Akasol, Inc.",,,04/14/2025,188,Closure,
Michigan,Vibracoustic USA Inc.,"Sandusky, Michigan",,"Beginning April 12, 2025",18,Layoff,Sanilac
Michigan,Evergreen Packaging LLC,"Kalamazoo, Michigan",,04/11/2025,153,Closure,Kalamazoo
Michigan,McCann,"Birmingham, Michigan",,04/05/2025,60,Layoff,Oakland
Michigan,"Michigan Spring & Stamping of Muskegon, LLC","Muskegon, Michigan",,03/14/2025,116,Closure,Muskegon
Michigan,"Lippert Components, Inc.","Chesaning, Michigan",,04/04/2025,159,Closure,Saginaw
Michigan,"US Farathane, LLC","Troy, Michigan",,03/28/2025,180,Closure,Oakland
Michigan,Macy's — Sterling Heights,"Sterling Heights, Michigan",,03/18/2025,117,Closure,Macomb
Michigan,Macy's — Troy,"Troy, Michigan",,03/18/2025,92,Closure,Oakland
Michigan,SpartanNash,"Caro, Michigan",,03/16/2025,54,Closure,Tuscola
Michigan,"Jack Cooper Transport Company, LLC","Wayne, Michigan",,02/02/2025,89,Closure,Wayne
Michigan,Pontiac General Hospital,"Pontiac, Michigan",,11/29/2024,113,Mass layoff,Oakland
