state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,State,Closure/Layoff,Temporary/Permanent,Union,County,Industry,Notes
Mississippi,Amplify Cell Technologies,Byhalia,2026-03-31,2026-05-30 00:00:00,73.0,,MS Partnership,Mississippi,Layoff,,,Marshall,"335912-LithiumBatteries,PrimaryManufacturing",
Mississippi,New Way Trucks,Booneville,2026-03-01,2026-05-30 00:00:00,86.0,,MS Partnership,Mississippi,Layoff,,,Prentiss,336211- Motor Vehicle Body Manufacturing,
Mississippi,Birdsong Peanuts-Aberdeen,Prairie,2026-02-13,2026-06-30 00:00:00,7.0,,MS Partnership,Mississippi,Layoff,,,Monroe,424590 – Other Farm Product Raw Material Merchant Wholesaler,
Mississippi,Regency Hospital,Meridian,2026-02-11,2026-02-11 00:00:00,102.0,,Twin Districs,Mississippi,Closure,,,Lauderdale,622110 – General Medical and Surgical Hospital,
Mississippi,"NIKE Retail Services, Inc",Byhalia,2026-01-26,2026-04-03 00:00:00,193.0,,MS Partnership,Mississippi,Layoff,,,Marshall,458110 – Clothing and Clothing Accessories Retailers,
Mississippi,GXO Logistics,Southaven,2026-01-06,2026-01-31 00:00:00,220.0,,MS Partnership,Mississippi,Closure,,,DeSoto,493110- General Warehousing and Storage,
Mississippi,Westlake Chemical,Aberdeen,2025-12-16,2026-02-28 00:00:00,99.0,,MS Partnership,Mississippi,Closure,,,Monroe,325998 – All other Chemical Product and Preparation Manufacturing,
Mississippi,NOV Energy Products Services,Iuka,2025-12-01,2026-04-01 00:00:00,12.0,,MS Partnership,Mississippi,Closure,,,Tishomingo,326122 – Plastics Pipe and Pipe Fitting Manufacturing,
Mississippi,Milwaukee Electric Tool Corp.,Greenwood,2025-11-29,,,,Delta,Mississippi,Layoff,,,Lefore,333991 – Power Driven Hand Tool Manufacturing,
Mississippi,"Burgess-Norton Mfg. Co., Inc.",Oxford,2025-11-06,2026-04-15 00:00:00,79.0,,MS Partnership,Mississippi,Closure,,,Lafayette,331221- Rolled Steel Shape Manufacturing,
Mississippi,Spectra Laboratories,Southaven,2025-09-22,2025-11-25 00:00:00,155.0,,MS Partnership,Mississippi,Layoff,,,DeSoto,621511- Medical Laboratories,
Mississippi,"Boyd Tunica, Inc./ Sam’s Town Hotel Gambling Hall",Robinsonville,2025-09-04,2025-10-10 00:00:00,177.0,,Delta,Mississippi,Closure,,,Tunica,721120 – Casino Hotels,
Mississippi,Resolute Forest Products US Inc. / Domtar,Grenada,2025-08-21,2025-09-25 00:00:00,176.0,,MS Partnership,Mississippi,Layoff,,,Grenada,322120 – Paper Mill,
Mississippi,Advanced Distributor Products,Grenada,2025-08-13,2025-08-14 00:00:00,69.0,,MS Partnership,Mississippi,Layoff,,,Grenada,333415 – Air Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment,
Mississippi,"SIMOS Insourcing Solutions, LLC",Olive Branch,2025-08-05,2025-10-03 00:00:00,159.0,,MS Partnership,Mississippi,Layoff,,,DeSoto,561311 – Employment Placement Agencies,
Mississippi,"Rex Lumber, Brookhaven, LLC",Brookhaven,2025-07-11,2025-09-09 00:00:00,71.0,,South Central MS Works,Mississippi,Layoff,,,Lincoln,"423310 – Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",
