state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,State,Closure/Layoff,Temporary/Permanent,Union,County,Industry,Notes
Missouri,Bausch & Lomb,Kirkwood,2026-06-08,2026-08-10 00:00:00,119.0,,,Missouri,Layoff,,,,Healthcare,
Missouri,SMBC Manubank,,2026-06-05,2026-08-03 00:00:00,1.0,,,Missouri,Layoff,,,,Commercial Banking,
Missouri,General Mills,,2026-05-27,2026-06-02 00:00:00,6.0,,,Missouri,Closing,,,St. Charles,Food Processing / Manufacturing,
Missouri,Timken Belts,Springfield,2026-05-02,2026-07-31 00:00:00,283.0,,Ozark,Missouri,Closing,,,Greene,Manufacturing,
Missouri,"Nike IHM, Inc.",St. Charles,2026-04-23,2026-06-26 00:00:00,172.0,,St. Louis & vicinity,Missouri,Layoff,,,St. Charles,Manufacturing,
Missouri,Trilogy Warehouse Partners,St. Louis,2026-04-09,2026-06-12 00:00:00,67.0,,St. Louis,Missouri,Layoff,,,,Warehouse Logistics,
Missouri,Durham School Services,House Springs,2026-04-09,2026-06-05 00:00:00,107.0,,St. Louis & vicinity,Missouri,Loss of Contract,,,Jefferson,Transportation,
Missouri,"General Mills Operations, LLC",St. Charles,2026-04-06,2026-06-08 00:00:00,163.0,,St. Louis & vicinity,Missouri,Closing,,,St. Charles,Manufacturing,
Missouri,Oracle,Kansas City,2026-03-31,05/26/2026-06/01/2026,539.0,,Kansas City,Missouri,Layoff,,,Jackson,Software Publisher,
Missouri,Saks & Company LLC,St. Louis,2026-03-06,05/06/2026-05/31/2026,65.0,,St. Louis,Missouri,Closing,,,,Clothing Distribution,
Missouri,"Main Street Sports Group, LLC",St. Louis,2026-02-13,2026-04-14 00:00:00,25.0,,St. Louis,Missouri,Closing,,,,Entertainment,
Missouri,St. Louis Post-Dispatch,Maryland Heights,2026-02-06,2026-06-26 00:00:00,3.0,,St. Louis & vicinity,Missouri,Closing,,,St. Louis,Newspaper Publisher,
Missouri,Community Wholesale Tire Dis. Inc.,Hazelwood,2026-02-09,2026-04-10 00:00:00,143.0,,St. Louis County,Missouri,Closing,,,St. Louis,Tire Merchant,
Missouri,National Aviation Services (NAS),St. Louis,2026-01-31,2026-04-01 00:00:00,48.0,,St. Louis,Missouri,Loss of Contract,,,,Travel - Airline,
Missouri,Greenbrier Manufacturing,Kennett,2026-01-22,2026-01-23 00:00:00,94.0,,Southeast,Missouri,Furlough,,,Dunklin,Manufacturing,
Missouri,"TelaForce, LLC",Kansas City,2026-01-19,2026-03-20 00:00:00,106.0,,Kansas City,Missouri,Loss of Contract,,,Jackson,Business Services,
Missouri,Saint Francis Healthcare,Poplar Bluff,2025-12-18,2026-01-30 00:00:00,213.0,,Southeast,Missouri,Layoff,,,Butler,Healthcare,
Missouri,Simmons Animal Nutrition,Milan,2025-12-04,2026-01-31 00:00:00,151.0,,Northeast,Missouri,Closing,,,Sullivan,Food Processing / Manufacturing,
Missouri,Hollister,Kirksville,2025-11-19,01/14/2026-01/28/2026,7.0,,Northeast,Missouri,Closing,,,Adair,Healthcare,
