state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,Year,Industry
Montana,Wells Fargo & Company,,2026-03-30,2026-05-30,77,,Yellowstone,2026,Banking
Montana,Wells Fargo & Company,,2026-06-23,2026-08-22,16,,Yellowstone,,Banking
Montana,Wells Fargo & Company,,2026-07-21,2026-09-19,2,,Yellowstone,,Banking
Montana,"Block, Inc",,2025-03-27,2024-05-24,1,,Unknown,2025,Web Design
Montana,Gary & Leo's Fresh Foods,,2025-04-03,"5/22/2025, 5/29/2025, 6/5/2025",164,,Ravalli/Pondera/Hill,,Retail Trade-Food and Beverage Stores
Montana,Accelerate360 Distrubution,,2025-04-25,2025-06-28,29,,Multiple,,Merchandising
Montana,UFP Edge,,2025-07-28,2025-09-27,104,,Missoula,,Manufacturing
Montana,Zeco Systems,,2025-08-18,2025-10-25,1,,Unknown,,Media/Procurement
Montana,Missoula County/Partnership Health,,2025-09-26,2025-12-31,300,,Missoula,,Healthcare
Montana,George's Distributing,,2025-10-27,2025-12-03,112,,Lewis & Clark,,Sales
Montana,Pacific Source Health,,2025-10-29,12/31/202,3,,Lewis & Clark,,Healthcare Insurance
Montana,Exxon Mobile/Denbury Onshore LLC,,11/17/225,2026-01-15,78,,"Dawson, Fallon, Prairie and Wibaux",,Hydrocarbon exploration/Drilling
