state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
Nebraska,"Skylark Meats, LLC",Omaha,06/26/2026,,218,,
Nebraska,Republic National Distributing Co,La Vista,05/18/2026,,87,,
Nebraska,WK Kellogg Co,Omaha,5/22/2026,,451,,
Nebraska,Tyson Extension - Lexington,Lexington,1/21/2026,,294,,
Nebraska,Fortrex 0127 Lexington,Lexington,11/26/2025,,139,,
Nebraska,Tyson - Lexington,Lexington,11/21/2025,,"3,212",,
Nebraska,ITC Federal,Lincoln,9/30/2025,,192,,
Nebraska,Burlington Trailways,Omaha,9/19/2025,,11,,
Nebraska,Safeway Store 2563,Chadron,9/9/2025,,49,,
Nebraska,Neenah Foundry,Lincoln,9/9/2025,,103,,
Nebraska,Eaton Corporation,Kearney,07/10/2025,,219,,
Nebraska,Federal Express Corporation,Omaha,06/30/2025,,102,,
Nebraska,Hyatt Corporation,Omaha/Remote,06/17/2025,,286,,
Nebraska,CommuteAir LLC,Lincoln,05/19/2025,,100,,
Nebraska,Accenture,Omaha,05/14/2025,,85,,
Nebraska,Student Transportation of America (STA),Omaha,05/12/2025,,39,,
Nebraska,"Accelerate360 Distribution, LLC",Remote,04/25/25,,13,,
Nebraska,United States Cellular Corporation (USCC),"Omaha, Papillion, Grand Island, and Remote Locations",03/26/2025,,"4,100",,
