state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
Nevada,SMBC Manu | bank,Remote,1/8/2025,3/10/2026,3,La yoff,Remote
Nevada,Spirit Airline | s,Las Vegas,1/22/2026,3/15/2026,1,La yoff,Clark
Nevada,Shell Rechar | ge Solutions,Remote,1/29/2026,3/31/2026,1,La yoff,Remote
Nevada,Ace Dragon | Wok(WAA Hospitality LLC),Las Vegas,1/27/2026,1/27/2026,35,La yoff,Clark
Nevada,Boulder City | Hospital,Boulder City,2/26/2026,4/30/2026,70,La yoff,Clark
Nevada,"SK Food Gro | up, Inc.",Reno,2/27/2026,4/30/2026,209,La yoff,Washoe
Nevada,Water Safety | Corporation,Reno,2/24/2026,4/1/2026,27,Cl osure,Washoe
Nevada,iHerb,Las Vegas,3/2/2026,5/1/2026,113,Cl osure,Clark
Nevada,Liberty Dent | al Plan,Las Vegas,3/5/2026,5/4/2026,22,La yoff,Clark
Nevada,Saks & Comp | any,Las Vegas,3/6/2026,5/31/2026,70,Cl osure,Clark
Nevada,C2 technolog | ies,Las Vegas,3/11/2026,3/6/2026,1,La yoff,Clark
Nevada,Dig It Coffee | Co,Las Vegas,4/6/2026,4/26/2026,n,Cl osure unknow,Clark
Nevada,Spirit Airline | s,Las Vegas/Reno,5/4/2026,5/2/2026,999,Cl osure,Clark/Washoe
Nevada,Primadonna | Co LLC,Primm,5/5/2026,7/4/2026,344,Cl osure,Clark
Nevada,"FTGU, LLC",Las Vegas,6/26/2026,8/25/2028,61,La yoff,Clark
Nevada,Conduent,Remote,6/29/2026,8/28/2026,5,La yoff,Remote
Nevada,"7 BEARS, LLC(dba | Black Bear Diner)",Carson City,1/29/2025,2/3/2025,25,C losure,Carson
Nevada,All Taken Inc.(dba | Wienerschnitzel),Reno,1/30/2025,1/31/2025,12,C losure,Washoe
Nevada,JoAnn Stores LLC( | dba Jo-Ann Fabrics),Carson City/Elko/R,2/14/2025 U,nknown,own,C losure Unkn,Carson/Elko/Wash
Nevada,Levy Premium Fo | odservice LP(dba Levy at Allegi | ant Stadium),Las Vegas,2/20/2025,3/31/2025,1102,C losure,Clark
Nevada,FirstService Resid | ential,Las Vegas,2/24/2025,Multiple,23,C losure,Clark
Nevada,Luxor,Las Vegas,3/11/2025,3/30/2025,25,L ayoff,Clark
Nevada,Excalibur,Las Vegas,3/11/2025,3/30/2025,16,L ayoff,Clark
Nevada,"F21 Opcco, LLC db | a Forever 21",Reno/Sparks,2/24/2025 U,nknown,36,C losure,Washoe
Nevada,BH Security (DBA | Brinks Home),Las Vegas,3/17/2025,6/30/2025,1,C losure,Clark
Nevada,"Block, Inc (dba Bl | ock)",unknown,3/26/2025,5/24/2025,3,L ayoff,unknown
Nevada,The HC Companie | s (HC Companies),Sparks,3/31/2025,5/30/2025,57,C losure,Washoe
Nevada,"PrimeSource Buil | ding Products, Inc.",Carson City,4/23/2025,6/2/2025,65,C losure,Carson
Nevada,"Tilson Technology | Management, Inc.",Las Vegas,5/5/2025,5/29/2025,133,L ayoff,Clark
Nevada,Hogs & Heifers of | Las Vegas,Las Vegas,5/14/2025,7/7/2025,45,C losure,Clark
Nevada,Mr Chow(Caesars | Palace),Las Vegas,5/14/2025,5/18/2025,wn,C losure unkno,Clark
Nevada,"Bahama Breeze(t | he ""Company"")",Las Vegas,5/15/2025,5/15/2025,86,C losure,Clark
Nevada,Nordstrom,Remote,5/29/2025,8/16/2025,24,C losure,Remote
Nevada,Amazon,Reno,6/2/2025,8/2/2025,325,C losure,Washoe
Nevada,"Sierra Helath and | Wellness Centers, LLC",Reno,6/6/2025,6/5/2025,,C losure 20+,Washoe
Nevada,"System Consultan | ts, Inc",Fallon,6/12/2025,8/15/2025,45,C losure,Churchill
Nevada,"Elko Bus Lines, LL | C",Elko,6/27/2025,9/1/2025,149,C losure,Elko
Nevada,"Quality Built, LLC",Remote,7/7/2025,7/3/2025,19,C losure,Remote
Nevada,Fastenal,Winnemucca,7/11/2025,7/31/2025,2,C losure,Humbolt
Nevada,Mellow Fellow,Reno,7/14/2025,8/30/2025,wn,C losure unkno,Washoe
Nevada,KIRA Training Ser | vices,Fallon,7/18/2025,8/11/2025,50,C losure,Churchill
Nevada,Scolari's Warehou | se Markets In(Scolaris Food an | d Drug Company,Sun Valley and Spa,7/16/2025,8/24/2025,35,C losure,Washoe
Nevada,Blue Martini,Las Vegas,7/21/2025,7/20/2025,70,C losure,Clark
Nevada,American Reeling | Devices,Dayton,7/25/2025,7/30/2025,10,C losure,Lyon
Nevada,Poker Palace,North Las Vegas,7/29/2025,9/30/2025,126,C losure,Clark
Nevada,Ayr Wellness (DB | A BP Solutions LLC) Crane Way | Location,Sparks,7/31/2025,9/29/2025,77,L ayoff,Washoe
Nevada,Ayr Wellness (DB | A BP Solutions LLC) Hymer Ave | Location,Sparks,7/31/2025,9/29/2025,5,L ayoff,Washoe
Nevada,Ingram Micro Inc.,Las Vegas,8/4/2025,10/3/2025,53,C losure,Clark
Nevada,SA Autmotive,Reno,8/7/2025,10/7/2025,154,C losure,Washoe
Nevada,"Zeco Systems, Inc | . (DBA Shell Recharge Solution | s)",Remote,8/18/2025,10/31/2025,1,L ayoff,Remote
Nevada,Nordstrom,Remote,8/21/2025,11/15/2025,27,C losure,Remote
Nevada,"Drai's Manageme | nt Group, LLC",Las Vegas,8/30/2025,11/3/2025,344,C losure,Clark
Nevada,"Drai's After Hours | , LLC",Las Vegas,8/30/2025,11/3/2025,7,C losure,Clark
Nevada,XS Nightclub(Wyn | n Las Vegas),Las Vegas,9/16/2025,Jun-26,70,C losure,Clark
Nevada,Carlos'n Charlie's,Las Vegas,9/26/2025,11/18/2025,79,C losure,Clark
Nevada,Spirit Airlines Inc,Las Vegas,9/29/2025,12/1/2025,393,L ayoff,Clark
Nevada,POST Consumer B | rands,Sparks,10/9/2025,12/12/2025,119,C losure,Washoe
Nevada,Unimacts Golbal L | LC,Las Vegas,10/15/2025,10/3/2025,31,L ayoff,Clark
Nevada,JR Simplot Co.,Winnemucca,10/7/2025,9/29/2025,5,L ayoff,Humbolt
Nevada,Starbucks Corpor | ation,Las Vegas,10/20/2025 U,nknown,own,C losure Unkn,Clark
Nevada,Las Vegas Sands C | orp,Las Vegas,10/20/2025 U,nknown,own,L ayoff Unkn,Clark
Nevada,Spirit Airlines Inc,Las Vegas,10/31/2025,1/1/2026,32,L ayoff,Clark
Nevada,Diamond Plastics | CO.,Golconda,11/12/2025,11/12/2025,21,L ayoff,Humboldt
Nevada,Nordstrom Credit | Operations,Remote,11/17/2025,2/21/2026,43,L ayoff,Remote
Nevada,Trump Internatio | nal Hotel Las Vegas,Las Vegas,11/19/2025,9/5/2025,12,L ayoff,Clark
Nevada,Run Walk 1 LLC (D | BA Walk Ons Sports Bistreaux),Las Vegas,11/19/2025,11/5/2025,35,C losure,Clark
Nevada,Turnkey One Sour | ce,Las Vegas,12/4/2025,1/27/2026,79,L ayoff,Clark
