state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
New Jersey,The Fresh Market,Montvale,January,4/12/26,55,,
New Jersey,International Real Estate | Partners US Corp,New Providence,January,3/31/2026,61,,
New Jersey,Lifetime Brands,Robbinsville,January,4/10/26 - 11/26/26,140,,
New Jersey,SFC Global Supply Chain,Robbinsville,January,4/10/26,170,,
New Jersey,ERMC,"Atlanta, GA (work | location: Newark | International Airport)",January,4/11/26,205,,
New Jersey,Macy's Retail Holdings,"Paramus, Livingston, | Ramsey",January,"3/31/26 (Paramus and Ramsey), 4/30/26 | (Livingston)",89,,
New Jersey,T-Mobile USA,"Bellevue, WA | (Statewide in NJ)",January,4/21/26 - 9/2/26,78,,
New Jersey,Blue Cross Blue Shield of NJ,Newark,January,4/26/26,242,,
New Jersey,Amazon,"Passaic, Bergen, | Monmouth, Hudson, | Statewide",January,4/28/26,"240 (Passaic), 417 | (Bergen), 141 | (Monmouth), 44 | (Hudson), 29 | (Statewide)",,
New Jersey,Saks & Company,Statewide,January,5/4/26,69,,
New Jersey,Walmart Hoboken February 5/1/2026 100,,,,,,
New Jersey,Eddie Bauer,"Bergen, Morris, | Camden, Monmouth, | Somerset",February,2/2/26 and 5/15/26,58,,
New Jersey,Target,"Burlington, | Gloucester, | Middlesex, | Monmouth",February,5/17/26,107,,
New Jersey,Spectra Laboratories,Rockleigh,February,"4/7/26, 4/28/26, 5/8/26",57,,
New Jersey,Integra Life Sciences,Princeton,February,5/1/26 and 6/15/26,65,,
New Jersey,JP Morgan Chase,Jersey City,February,5/3/26,120,,
New Jersey,Saks & Company,East Rutherford,February,5/11/26,58,,
New Jersey,Arrow Fastener,Saddle Brook,February,"5/1/26, 6/5/26, 7/26, 8/26",140,,
New Jersey,Scudetto Logistics,Trenton,February,5/14/26,120,,
New Jersey,Imperia Foods,Fairfield,February,5/22/26 and 9/1/26,82,,
New Jersey,AT&T,Bedminster,February,5/19/26,75,,
New Jersey,Bristol Myers Squibb,Lawrence Twp,February,"5/21/26, 6/19/26, 7/16/26, 7/31/26, | 10/23/26, 12/17/26, 12/31/26",247,,
New Jersey,Cigna Evernorth Services,Morris Plains,February,"4/29/26, 5/3/26, 5/20/26",134,,
New Jersey,Citibank,Statewide,February,"5/21/26, 5/27/26, 6/2/26, 6/6/26, | 6/7/26, 6/14/26",141,,
New Jersey,Macy's,Statewide,February,3/7/26,79,,
New Jersey,IPIC Theaters,Fort Lee,February,5/28/26,97,,
New Jersey,MarketSource,Jersey City,February,5/30/26,57,,
New Jersey,Compass Inc.,Madison,February,1/9/26 - 8/14/26,110,,
New Jersey,Luna Foods dba Joey's Fine | Foods,Newark,March,6/19/26,61,,
New Jersey,Prudential,Newark,March,5/7/26 - 6/7/26,54,,
New Jersey,Reckitt Benckiser,Parsippany,March,3/2/26 - 8/31/26,62,,
New Jersey,RB Health,Parsippany,March,3/2/26 - 8/31/26,14,,
New Jersey,Mead Johnson,Parsippany,March,3/2/26 - 8/31/26,18,,
New Jersey,Heights University Hospital,Jersey City,March,3/16/26,65,,
New Jersey,Fiserv Solutions LLC,Berkeley Heights,March,3/31/26 - 5/31/26,118,,
New Jersey,OTB Hospitality,Paramus,March,3/13/26,62,,
New Jersey,UBS,Weehawken,March,6/22/26 - 6/24/26,103,,
New Jersey,JP Morgan Chase,Jersey City,March,6/20/26,134,,
New Jersey,Labcorp Raritan,Raritan,March,7/3/26 - 7/17/26,83,,
New Jersey,Novartis,East Hanover,March,6/26/26 - 11/27/26,114,,
New Jersey,"Alan Ritchey, Inc.",Phillipsburg,April,7/17/26,176,,
New Jersey,Bristol Myers Squibb,Lawrence Twp,April,7/16/26 - 12/31/26,206,,
New Jersey,AT&T,Bedminster,April,5/4/26 and 5/19/26,87,,
New Jersey,Novartis,East Hanover,April,7/24/26 - 11/20/26,60,,
New Jersey,FreshRealm,Linden,April,6/27/26 - 727/26,637,,
New Jersey,Reckitt Benckiser LLC,Nutley,April,3/2/26 - 3/18/27,57,,
New Jersey,Federal Express Corporation,Union,April,8/3/26,50,,
New Jersey,Fulton Bank,Parsippany,May,7/31/26 and 10/2/26,95,,
New Jersey,Accupac,Lakewood,May,8/3/26 - 12/31/26,260,,
New Jersey,Danone North America,Bridgeton,May,8/4/26 and 11/2/26,114,,
New Jersey,DoubleTree by Hilton,Somerset,May,8/1/26 - 8/5/26,90,,
New Jersey,Verizon,Basking Ridge,May,8/7/26,121,,
New Jersey,Spirit Airlines,Newark,May,5/2/26,201,,
New Jersey,Embassy Suites by Hilton,Parsippany,May,8/14/26,54,,
New Jersey,JP Morgan Chase,Jersey City,May,8/3/26,51,,
New Jersey,Amicus Therapeutics,Princeton,May,8/7/26 - 10/30/26,58,,
New Jersey,Barclays,Whippany,May,8/10/26 9/10/26,64,,
New Jersey,Acme Markets Inc.,Edgewater,May,8/15/26,115,,
New Jersey,Novartis Group,East Hanover,May,8/21/26,76,,
New Jersey,Ready Pac Produc,Florence,January,4/1/25,75,,
New Jersey,Barclays Services,Whippany,January,4/16/25 -,69,,
New Jersey,Optum Services,Basking Ridge,January,4/23/25,71,,
New Jersey,GEODIS Logistics,Monroe Township,January,4/27/25,92,,
New Jersey,"Kyowa Kirin, Inc.",Princeton,February,5/1/25,52,,
New Jersey,Bristol Myers Squ,Lawrence Twp,February,12/11/25,67,,
New Jersey,Walmart,Hoboken,February,6/13/25,481,,
New Jersey,CWS (Church Wo,Jersey City,February,1/31/25 a,79,,
New Jersey,RCHP (Reformed,,,,,,
New Jersey,Corporation),Highland Park,February,2/10/25,195,,
New Jersey,Planitroi,Denville,February,2/11/25,100,,
New Jersey,Boehringer Ingelh,New Brunswick,February,6/30/25 -,90,,
New Jersey,JP Morgan Chase,Jersey City,February,5/5/25,121,,
New Jersey,Eisai,Nutley,February,"3/31/25, 4",57,,
New Jersey,BetMGM,Jersey City,February,5/27/25,83,,
New Jersey,Bristol Myers Squ,Lawrence Twp,February,"5/22/25, 6",223,,
New Jersey,JoAnn Stores Sup,"Morris, and Ocean Co",March,5/29/25 -,262,,
New Jersey,GEODIS Logistics,Monroe Township,March,7/31/25,334,,
New Jersey,Henry Bayonne L,Bayonne,March,3/13/25,84,,
New Jersey,Henry RAC Holdin,Bayonne,March,3/13/25,62,,
New Jersey,Novartis,East Hanover,March,6/13/25 -,427,,
New Jersey,Forever 21,Affected Employees:,March,6/11/25 -,59,,
New Jersey,Brinks Home,Affected Employees:,March,6/30/25,61,,
New Jersey,Barclays Services,Whippany,March,06/23/25,78,,
New Jersey,UBS,Weehawken,March,03/25/25,50,,
New Jersey,TD Bank N.A.,Cherry Hill,March,"6/16/25, 6",52,,
New Jersey,BioReference Hea,Elmwood Park,March,1/1/25 - 3,84,,
New Jersey,Organon,Jersey City,March,"4/30/25, 5",93,,
New Jersey,Barrette Outdoor,Egg Harbor City,March,7/1/25,120,,
New Jersey,JP Morgan Chase,Jersey City,April,6/23/25,145,,
New Jersey,"Mead Johnson, R",Parsippany,April,9/8/24 - 8,190,,
New Jersey,Cigna Evernorth S,Morris Plains,April,"3/15/25, 3",62,,
New Jersey,Dufry by Avolta,East Rutherford,April,7/9/25,80,,
New Jersey,Whitsons Food Se,Edison,April,4/18/25,66,,
New Jersey,Summit BHC New,Bridgeton,May,7/30/25,96,,
New Jersey,Bristol Myers Squ,Lawrence Twp,May,"1/2/26, 3/",516,,
New Jersey,Rite Aid,Affected Employees:,May,Rolling ba,1122,,
New Jersey,JP Morgan Ch | ase,Jersey City,May,8/4/25,63,,
New Jersey,PHV Corp,Bridgewater,May,"12/1/25, 1/1/26",59,,
New Jersey,TEKsystems,Secaucus,May,8/12/25 and 11/7/25,58,,
New Jersey,Accenture,Morristown,May,8/29/25,71,,
New Jersey,Seviroli Foods,Bellmawr,May,8/13/25,77,,
New Jersey,GMRI Inc. T/A | Bahama Breeze,Paramus,May,5/15/25,327,,
New Jersey,Kinkisharyo In | ternational,Jersey City,May,6/13/25,72,,
New Jersey,TransAxle,Cinnaminson,May,8/15/25 - 9/29/25,129,,
New Jersey,Walmart,Hoboken,May,8/22/25,187,,
New Jersey,Ranstad US,Secaucus,May,8/12/25,236,,
New Jersey,Edison Job Co | rps - ON HOLD,Edison,June,6/6/25 - 6/30/25,176,,
New Jersey,Panera,Fairfield,June,"9/8/25, 9/10/25, 9/12/25",201,,
New Jersey,PVH Corp.,Bridgewater,June,2/14/26,51,,
New Jersey,KRP Transpor | t,Burlington,June,9/15/25,298,,
New Jersey,USA DBA Cha | rwells,Orange,June,6/27/25,73,,
New Jersey,At Home,"Princeton, Ledgewoo",June,9/30/25,77,,
New Jersey,Kenvue,Summit,June,"10/10/25, 12/19/25",69,,
New Jersey,Bristol Myers | Squibb (BMS),Lawrence Twp,June,"9/25/25, 10/24/25, 12/19/25, 1/15/26",68,,
New Jersey,Ashland Inc.,Sayreville,July,"8/1/25, 8/29/25, 9/30/25",55,,
New Jersey,Prudential,Newark,July,7/31/25 - 10/18/25,57,,
New Jersey,Rocket Pharm | aceuticals,Cranbury,July,10/23/25 - 12/31/25,80,,
New Jersey,Citibank,Jersey City,July,11/9/25,52,,
New Jersey,Spiral Binding,Totowa,July,10/27/25,137,,
New Jersey,Claire's Boutiq | ues Inc.,"Morris, Ocean, Passa",August,11/3/25,155,,
New Jersey,Ernst & Young,Hudson & Middlesex,August,10/31/25,130,,
New Jersey,Merck & Co.,Rahway,August,11/14/25,58,,
New Jersey,Mark Anthon | y Brewing,Hillside,August,9/26/25 - 11/3/25,143,,
New Jersey,Valley Nation | al Bank,Morristown,August,6/13/25 - 8/22/25,59,,
New Jersey,Novartis,East Hanover,September,"3/6/26, 6/26/26",60,,
New Jersey,JP Morgan Ch | ase,Jersey City,September,11/24/25,58,,
New Jersey,YNAP Corpora | tion,Mahwah,September,11/15/25,68,,
New Jersey,Essendant,Cranbury,September,12/1/25,171,,
New Jersey,BioReference | Health,Elmwood Park,September,7/14/25 - 9/15/25,68,,
New Jersey,"Alstom Transp | ortation, Inc.",Camden,September,2/13/25,117,,
New Jersey,ICIMS,Holmdel,September,12/15/25,54,,
New Jersey,Novo Nordisk,Plainsboro,September,12/31/25,811,,
New Jersey,Prudential,Newark,September,11/16/25 - 12/16/25,63,,
New Jersey,"Bristol Myers Squibb (BMS) Lawrence Twp September 12/11/25, 2/12/26, 3/13/26, 3/27/26 282",,,,,,
New Jersey,Spectra Labs Rockleigh September 12/17/2025 & 12/17/25 96,,,,,,
New Jersey,BioReference Health Elmwood Park September 9/18/25 - 12/19/25 118,,,,,,
New Jersey,OceanFirst Bank Toms River September 12/18/25 114,,,,,,
New Jersey,"12/8/25, 12/14/25, 12/15/25, 12/24/25, | Citibank Jersey City September 12/27/25, 12/28/25 67",,,,,,
New Jersey,BASF Florham Park September 12/31/25 66,,,,,,
New Jersey,"Iron hill Brewery Maple Shade October 9/9/25, 9/24/25, 9/25/25 108",,,,,,
New Jersey,Club Wyndham Atlantic City Skyline Atlantic City October 12/31/25 and 1/1/26 116,,,,,,
New Jersey,Harrison Sportservice Inc. Harrison October 1/1/26 467,,,,,,
New Jersey,"West New York, Fort Lee, Morristown, Whiting | Starbucks Coffee Company Commons October 1/25/26 47",,,,,,
New Jersey,GAF Materials Parsippany October 1/15/26 & 1/17/26 106,,,,,,
New Jersey,The Park Hotel at Meadowlands East Rutherford October 11/19/25 - 12/15/25 167,,,,,,
New Jersey,Jefferson Health Cherry Hill October 1/13/26 108,,,,,,
New Jersey,DOW Jones & Company Princeton October 1/23/26 & 2/13/26 50,,,,,,
New Jersey,"Ferring Pharmaceuticals Parsippany October 1/23/26, 6/26/26, 7/31/26 64",,,,,,
New Jersey,Audible Newark October 1/26/26 67,,,,,,
New Jersey,TTEC Government Solutions Egg Harbor October 1/26/2026 120,,,,,,
New Jersey,Amazon Jersey City October 1/26/2026 72,,,,,,
New Jersey,Becton Dickinson and Company Franklin Lakes October 10/30/25 - 1/31/25 86,,,,,,
New Jersey,Heights University Hospital Jersey City October 10/25/25 - 11/9/25 206,,,,,,
New Jersey,"2/2/26 (377), 2/5/26 (4), 2/13/26 (4), | Optum Care Eden Prairie, Minnesota (Offices throughout NJ) October 2/19/26 (2), 2/27/26 (1), and 3/4/26 (2) 390",,,,,,
New Jersey,"Optum Medical Care Secaucus October 2/2/26 (120), 3/2/26 (1), and 3/4/26 (1) 122",,,,,,
