state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
New York,420 Park FB LLC,,2026-04-06,2026-07-06,42,Closure,New York
New York,Air Company Holdings Inc.,,2026-05-04,2026-08-02,16,Closure,Kings
New York,Air Company Holdings Inc.,,2026-05-04,2026-08-02,23,Closure,Kings
New York,Air Company Holdings Inc.,,2026-05-04,2026-08-02,26,Closure,Kings
New York,Amazon,,2026-01-28,2026-04-28,135,Layoff,New York
New York,Amazon (Long Island),,2026-01-27,2026-04-28,71,Closure,Nassau
New York,Amazon (Long Island),,2026-01-27,2026-04-28,44,Closure,Suffolk
New York,Amazon (Western),,2026-02-27,2026-05-30,542,Closure,Erie
New York,"AVI Foodsystems, Inc.",,2026-05-08,2026-05-31,45,Closure,Allegany
New York,Bank of America,,2026-03-19,2026-06-24,170,Closure,Erie
New York,"BMC Benchmark Management Company, LLC. (Edith Macy Center Hotel)",,2026-01-29,2026-04-30,49,Closure,Westchester
New York,Bronx Parent Housing Network,,2026-05-27,2026-08-31,44,Layoff,Bronx
New York,Bush Industries Inc. d/b/a eSolutions Group,,2026-04-30,2026-04-30,237,Closure,Chautauqua
New York,Catholic Guardian Services (Rescission),,2026-01-12,2026-04-12,0,Closure,Bronx
New York,Catholic Guardian Services (Rescission),,2026-01-12,2026-04-12,0,Closure,Bronx
New York,Catholic Guardian Services (Rescission),,2026-01-12,2026-04-12,0,Closure,Bronx
New York,Catholic Guardian Services (Rescission),,2026-01-12,2026-04-12,0,Closure,Bronx
New York,Cayuga Home for Children,,2026-04-01,2026-06-30,1,Closure,Albany
New York,Cayuga Home for Children,,2026-04-01,2026-06-30,14,Closure,Cayuga
New York,Cayuga Home for Children,,2026-04-01,2026-06-30,1,Closure,Oneida
New York,Cayuga Home for Children,,2026-04-01,2026-06-30,319,Closure,New York
New York,Cazar Logistics,,2026-01-31,2026-05-03,37,Closure,Manhattan
New York,"Citibank, N.A.",,2026-01-14,2026-04-14,552,Layoff,New York
New York,"Citigroup Global Markets, Inc.",,2026-01-14,2026-04-14,46,Layoff,New York
New York,"Citigroup Technology, Inc.",,2026-01-14,2026-04-18,2,Layoff,New York
New York,"College Association at Delhi, Inc.- SUNY Delhi",,2026-04-01,2026-06-30,53,Layoff,Delaware
New York,DF NY One Inc. d/b/a Dreamfields,,2026-03-02,2026-03-13,13,Layoff,Westchester
New York,Dice Lion Technology LLC,,2026-03-17,2026-06-15,37,Layoff,New York
New York,"Durham School Services, LP./Monroe School Transportation, Inc.",,2026-04-21,2026-07-12,180,Closure,Monroe
New York,"Durham School Services, LP./Monroe School Transportation, Inc.",,2026-04-13,2026-07-12,78,Closure,Albany
