state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,Address_1__c (WARN Location),Measure Names,Year of Date Received,Address_1__c (WARN Location).1,Company Name.1,Industry Sector,WARN Number
North Carolina,"Conduent Commercial Solutions, LLC",Florham Park NJ,"June 30, 2026","August 28, 2026",67,Permanent Layoff,,100 Campus Dr.,Employees  Impacted,2026,100 Campus Dr.,"Conduent Commercial Solutions, LLC",Admin. & Waste Services,202600041
North Carolina,"Firestone Fibers and Textiles, LLC",Kings Mountain,"January 27, 2026","April 28, 2026",77,Permanent Layoff,Gaston County,100 Firestone Lane,Employees  Impacted,2026,100 Firestone Lane,"Firestone Fibers and Textiles, LLC",Manufacturing,202600009
North Carolina,Parkdale Mills,Lexington,"April 9, 2026","June 7, 2026",68,Permanent Closure,Davidson County,100 Mill St,Employees  Impacted,2026,100 Mill St,Parkdale Mills,Manufacturing,202600029
North Carolina,Merck Sharp & Dohme LLC,Durham,"February 24, 2026","May 1, 2026",7,Permanent Layoff,Durham County,100 Rodolphe Street,Employees  Impacted,2026,100 Rodolphe Street,Merck Sharp & Dohme LLC,Manufacturing,202600016
North Carolina,"Lowe's Companies, Inc.",Charlotte,"February 13, 2026","May 1, 2026",49,Permanent Layoff,Mecklenburg County,100 W Worthington Avenue,Employees  Impacted,2026,100 W Worthington Avenue,"Lowe's Companies, Inc.",Retail Trade,202600014
North Carolina,"Vitacost.com, Inc.",Lexington,"April 29, 2026","July 1, 2026",130,Permanent Closure,Davidson County,130 Lexington Parkway,Employees  Impacted,2026,130 Lexington Parkway,"Vitacost.com, Inc.",Retail Trade,202600032
North Carolina,AVMAC LLC,Jacksonville,"July 23, 2026","August 23, 2026",62,Permanent Layoff,Onslow County,178 Curtis Road,Employees  Impacted,2026,178 Curtis Road,AVMAC LLC,Manufacturing,202600046
North Carolina,"CJ Logistics America, LLC",Rural Hall,"January 20, 2026","March 23, 2026",99,Permanent Closure,Forsyth County,200 Forum Parkway,Employees  Impacted,2026,200 Forum Parkway,"CJ Logistics America, LLC",Transport. & Warehousing,202600008
North Carolina,"Down-Lite International, Inc.",Monroe,"June 4, 2026","August 14, 2026",113,Permanent Closure,Union County,201 Cuthbertson Street,Employees  Impacted,2026,201 Cuthbertson Street,"Down-Lite International, Inc.",Manufacturing,202600035
North Carolina,Perdue Foods Feed Mill,Cofield,"March 16, 2026","April 19, 2026",104,Temporary Closure,Hertford County,242 Perdue Road,Employees  Impacted,2026,242 Perdue Road,Perdue Foods Feed Mill,Manufacturing,202600023
North Carolina,Thermo Fisher Scientific,Asheville,"January 8, 2026","December 31, 2027",423,Permanent Closure,Buncombe County,275 Aiken Road,Employees  Impacted,2026,275 Aiken Road,Thermo Fisher Scientific,Profess. & Technical Services,202600003
North Carolina,SMBC MANUBANK,New York NY,"January 8, 2026","August 3, 2026",19,Permanent Layoff,,277 Park Avenue,Employees  Impacted,2026,277 Park Avenue,SMBC MANUBANK,Finance and Insurance,202600004
North Carolina,LTI Holdings Inc. DBA Boyd,Monroe,"February 11, 2026","September 1, 2026",63,Permanent Closure,Union County,300 Acme Dr.,Employees  Impacted,2026,300 Acme Dr.,LTI Holdings Inc. DBA Boyd,Manufacturing,202600013
North Carolina,ECU Health Home Health and Hospice,Windsor,"April 7, 2026","May 1, 2026",14,Permanent Closure,Bertie County,304 W. Granville St,Employees  Impacted,2026,304 W. Granville St,ECU Health Home Health and Hospice,Health Care,202600028
North Carolina,"Firestone Fibers and Textiles, LLC",Gastonia,"January 27, 2026","April 28, 2026",4,Permanent Layoff,Gaston County,315 S. Dalton Street,Employees  Impacted,2026,315 S. Dalton Street,"Firestone Fibers and Textiles, LLC",Manufacturing,202600009
