state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,Zip Code
Oklahoma,LarKen Logistics LLC,St. Peters,9/3/2025,,,Plant Closing,Central,63376
Oklahoma,Novo Logistics,,1/30/2025,,,Plant Closing,Southern,
Oklahoma,Fellers,,9/26/2025,,,Other,Green Country,
Oklahoma,Jindal Films Americas LLC,Shawnee,9/25/2025,,,Plant Closing,Central,74804
Oklahoma,Paycom,Oklahoma City,10/1/2025,,,Mass Layoff,Central,73142
Oklahoma,Kroger,Oklahoma City,12/3/2025,,,Plant Closing,Central,73131
Oklahoma,Carrus Lakeside Hospital,Sherman,12/15/2025,,,Plant Closing,Green Country,75092
Oklahoma,Macy's Distribution,Owasso,1/15/2026,,,Plant Closing,Green Country,74055
Oklahoma,Bright Horizons,Watertown,1/30/2026,,,Plant Closing,Central,02472
Oklahoma,Hopkins Mfg- Miami,Miami,2/23/2026,,,Plant Closing,Green Country,74354
Oklahoma,TTEC,,1/26/2026,,,Plant Closing,Central,
Oklahoma,CAE USA Inc,Altus AFB,3/25/2026,,,Plant Closing,Green Country,73523
Oklahoma,VITAL ENERGY INC,TULSA,3/13/2026,,,Plant Closing,Green Country,74120-1567
Oklahoma,Arvest Bank,Lowell,5/4/2026,,,Mass Layoff,Central,72745
Oklahoma,CONDUENT PATIENT ACCESS SOLUTIONS,FLORHAM PARK,6/26/2026,,,Mass Layoff,Central,79321208
