state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
Pennsylvania,"First Brands Group, LLC, d/b/a Eagle Castings","447 East Middle Street, Hanover, PA  17331",beginning 2/27/2026; ending 3/31/2026,beginning 2/27/2026; ending 3/31/2026,73,Closing,County: York
Pennsylvania,"GIANT Company, LLC","235 North Reservoir Street, Lancaster, PA  17602",2/27/2026,2/27/2026,76,Closing,County: Lancaster
Pennsylvania,"GIANT Company, LLC","3501 Island Avenue, Philadelphia, PA  19153",2/13/2026,2/13/2026,128,Closing,County: Philadelphia
Pennsylvania,"Great Dane, LLC","207 Progress Road, Elysburg, PA  17824",2/2/2026,2/2/2026,164,Layoff,County: Northumberland
Pennsylvania,Engineered Materials Solutions,"600 Valley Road, Hamburg, PA  19526",beginning 1/2/2026; ending 10/31/2026,beginning 1/2/2026; ending 10/31/2026,58,Closing,County: Berks
Pennsylvania,"Adare Pharmaceuticals, Inc.","1100 Orthodox Street, Philadelphia, PA  19124",beginning 3/1/2026; ending 6/30/2026,beginning 3/1/2026; ending 6/30/2026,137,Closing,County: Philadelphia
Pennsylvania,S&S Activewear,"600 Industrial Drive, Lewisberry, PA  17339",beginning 12/4/2025; ending 4/1/2026,beginning 12/4/2025; ending 4/1/2026,128,Closing,County: York
Pennsylvania,PA Potato Chip Manufacturing LLC,"1313 Stadium Street, Berlin, PA  15530",beginning 2/13/2026; ending 12/31/2026,beginning 2/13/2026; ending 12/31/2026,96,Closing,County: Somerset
Pennsylvania,Crothall and Morrison Healthcare,"3400 Spruce Street, Philadelphia, PA  19104 (Penn Medicine)",2/1/2026,2/1/2026,795,Layoff,County: Philadelphia
Pennsylvania,"GXO Logistics Worldwide, LLC","100 Carolina Way, Carlisle, PA  17015",Beginning 1/12/2026; Ending 5/30/2026,Beginning 1/12/2026; Ending 5/30/2026,69,Layoff,County: Cumberland
Pennsylvania,BIOLYST Scientific,"1560 Industry Road, Hatfield, PA  19440",Beginning 1/12/2026; Ending 1/26/2026,Beginning 1/12/2026; Ending 1/26/2026,76,Closure,County: Montgomery
Pennsylvania,"DuBois Logistics, LLC","891 Beaver Drive, DuBois, PA  15801",Beginning 1/31/2026; Ending 2/28/2026,Beginning 1/31/2026; Ending 2/28/2026,110,Closure,County: Clearfield
Pennsylvania,Pottstown Hospital,"1600 East High Street, Pottstown, PA  19464",1/1/2026,1/1/2026,131,Layoff,County: Montgomery
Pennsylvania,"Prysmian Cables and Systems, USA","1 Tamaqua Boulevard, Schuylkill Haven, PA  17972",1/1/2026-12/31/2027,1/1/2026-12/31/2027,150,Closure,County: Schuylkill
Pennsylvania,"Taste, Inc.","8500 Essington Avenue, Philadelphia, PA  19153 (Philadelphia International Airport)",2/5/2026,2/5/2026,10,Closure,County: Philadelphia
Pennsylvania,"Keen Transport, Inc.","1951 Harrisburg Pike, Carlisle, PA  17015",1/20/2026,1/20/2026,52,Layoff,County: Cumberland
Pennsylvania,Chick-fil-A,"8500 Essington Avenue, Philadelphia, PA  19153",12/30/2025,12/30/2025,49,Closure,County: Philadelphia
Pennsylvania,"Respironics, Inc.","174 Tech Center Drive, Mount Pleasant, PA 312 Alvin Drive, New Kensington, PA 1001 Murry Ridge Lane, Murrysville, PA",Beginning:  12/31/2025; Ending:  6/30/2026,Beginning:  12/31/2025; Ending:  6/30/2026,196,Layoff,County: Westmoreland
Pennsylvania,Oak View Group,"150 Rouse Boulevard, Philadelphia, PA  19112",12/31/25,12/31/25,TBD,Layoff,County: Philadelphia
Pennsylvania,Allen Distribution,"7058 Snowdrift Road, Allentown, PA  18106",12/26/2025,12/26/2025,70,Closing,County: Lehigh
Pennsylvania,"Peraton, Inc.","1250 Camp Hill Bypass, Camp Hill, PA  17011",12/13/2025,12/13/2025,153,Layoff,County: Cumberland
Pennsylvania,"Travel + Leisure Resort Development, Inc.","5255 Buttermilk Falls Road, Shawnee-on-Delaware, PA  18301",12/31/2025,12/31/2025,124,Closing,County: Monroe
Pennsylvania,"Morgan Truck Body, LLC","485 Wenger Drive, Ephrata, PA  17522",12/15/2025,12/15/2025,92,Closing,County: Lancaster
Pennsylvania,"Fourth Street Barbecue, Inc.","3 Arentzen Boulevard, Charleroi, PA  15022",beginning 10/9/25; ending 10/31/25,beginning 10/9/25; ending 10/31/25,252,Closing,County: Washington
Pennsylvania,Starbucks,"1500 Market Street, Philadelphia, PA  19102 1900 Market Street, Philadelphia, PA  19103 1128 Walnut Street, Philadelphia, PA  19107 1801 Spruce Street, Philadelphia, PA  19107 490 North Broad Street, Philadelphia, PA  19107 1709 Chestnut Street, Philadelphia, PA  19103",12/5/2025,12/5/2025,Unknown,Closing,County: Philadelphia
Pennsylvania,"Vifor Pharma, Inc.","1000 First Avenue, Suite 300, King of Prussia, PA  19406",12/1/2025,12/1/2025,55,Layoff,County: Montgomery
Pennsylvania,Packaging Corporation of America,"7451 Cetronia Road, Allentown, PA  18106 7620 Cetronia Road, Allentown, PA  18106",12/1/2025,12/1/2025,60 total,Closure,County: Lehigh
Pennsylvania,"Owens and Minor Halyard, Inc.","500 Independence Avenue, Mechanicsburg, PA  17055",11/28/25,11/28/25,75,Layoff,County: Cumberland
Pennsylvania,DHL Supply Chain,"3893 Courtney Street, Bethlehem, PA  18017",2/28/26,2/28/26,66,Closing,County: Northampton
Pennsylvania,"National Fulfillment Services, LLC","105 Commerce Drive, Aston, PA  19014",11/15/2025,11/15/2025,45,Closing,County: Delaware
Pennsylvania,"Air Products and Chemicals, Inc.","7331 William Avenue, Suite 300, Allentown, PA  18106",11/17/2025,11/17/2025,14,Layoff,County: Lehigh
Pennsylvania,CJB Logistics,"6901 Elmwood Avenue, Philadelphia, PA  19102",11/16/2025,11/16/2025,101,Closure,County: Philadelphia
Pennsylvania,Trujacodi Delivery Express,"2900 Grant Avenue, Philadelphia, PA  19114",9/12/2025,9/12/2025,42,Closure,County: Philadelphia
