state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,State,WARN Received Date,Closure/Layoff,Temporary/Permanent,Union,Region,Industry,Notes
Rhode Island,Ideal US Talent Systems Worker OpCo LLC ,Remote,,2026-07-01 00:00:00,2.0,,,Rhode Island,2026-05-05,,,,,,"2 remote workers affected in RI; 9,891 affected nationwide"
Rhode Island,"Allied Group, LLC",Cumberland,,05/05/2026-06/06/2026,154.0,,,Rhode Island,2026-03-31,Closure,,,,,
Rhode Island,Northeast Transportation Services LLC,Pawtucket,,2026-05-09 00:00:00,52.0,,,Rhode Island,2026-03-19,Closure,,Teamsters Local 251,,,
Rhode Island,EaglePicher,East Greenwich,,2026-03-15 00:00:00,38.0,,,Rhode Island,2026-01-13,Closure,,,,,
Rhode Island,UNFI,Lincoln,,2025-11-14 00:00:00,2.0,,,Rhode Island,2025-09-10,Layoff,,,,,
Rhode Island,Hotel Viking,Newport,,2025-11-05 00:00:00,105.0,,,Rhode Island,2025-09-03,Layoff,,,,,
Rhode Island,Vertex Pharmaceuticals,Providence,,2025-08-05 00:00:00,125.0,,,Rhode Island,2025-06-06,Layoff,,,,,
Rhode Island,UNFI,Lincoln,,2025-05-23 00:00:00,20.0,,,Rhode Island,2025-03-20,Closure,,,,,
Rhode Island,CVS,Woonsocket,,2025-06-07 00:00:00,38.0,,,Rhode Island,2025-02-06,Layoff,,,,,
Rhode Island,CVS,Woonsocket,,2025-01-25 00:00:00,796.0,,,Rhode Island,2024-11-25,Layoff,,,,,
Rhode Island,UNFI,Lincoln,,2025-01-24 00:00:00,121.0,,,Rhode Island,2024-11-21,Layoff,,,,,
Rhode Island,Gannett Publishing,Providence,,2025-03-10 00:00:00,136.0,,,Rhode Island,2024-11-12,Closure,,"Teamsters Local 251, 1201 Elmwood Ave., Prov., RI 02907, Teamsters Local 3, Graphic Communications Conference, 1073 Hancock St., Suite 303, Quincy, MA 02169",,,
Rhode Island,CVS,Statewide,,12/08/2024-12/21/2024,632.0,,,Rhode Island,2024-10-07,Layoff,,,,,
Rhode Island,Kaleo,Statewide,,2024-11-30 00:00:00,1.0,,,Rhode Island,2024-10-02,Layoff,,,,,
Rhode Island,Riley Power Group,North Kingston,,11/22/2024-12/06/2024,13.0,,,Rhode Island,2024-09-25,,,,,,
Rhode Island,Riley Power Group,North Kingston,,10/21/2024-11/04/2024,117.0,,,Rhode Island,2024-08-22,,,,,,
Rhode Island,Ennovi Advanced Mobility Solutions Rhode Island Inc,East Providence,,2025-01-01 00:00:00,205.0,,,Rhode Island,2024-07-31,Closure,,,,,
Rhode Island,Kirby Perkins Construction,Middletown,,2024-09-06 00:00:00,58.0,,,Rhode Island,2024-07-12,Layoff,,,,,
Rhode Island,The Claflin Company,Warwick,,2024-07-15 00:00:00,30.0,,,Rhode Island,2024-05-20,Layoff,,"Rhode Island laborers' Local Union 1322 of the Laborers' International Union of North America, AFL-CIO, 410 South Main Street, Providence, RI 02903.",,,
Rhode Island,ASM Global,Providence,,2024-06-30 00:00:00,1029.0,,,Rhode Island,2024-05-09,Layoff,,,,,
Rhode Island,National Marker Company (NMC),North Smithfield,,5/2/2024-7/1/2024,36.0,,,Rhode Island,2024-05-02,Closure,,,,,
Rhode Island,UPS (Update),Warwick,,2024-04-30 00:00:00,16.0,,,Rhode Island,2024-04-01,Layoff,,"Teamsters Local 251, 121 Brightridge Avenue, East Providence, RI 02914",,,additional workers laid off in relation to 2/6/2024 notice
Rhode Island,Volta Inc.,Woonsocket,,2024-05-01 00:00:00,1.0,,,Rhode Island,2024-04-01,Closure,,,,,
Rhode Island,Lakeside Book Company,Cumberland,,2024-11-15 00:00:00,48.0,,,Rhode Island,2024-02-27,Closure,,,,,
Rhode Island,UPS,Warwick,,2024-04-02 00:00:00,130.0,,,Rhode Island,2024-02-06,Layoff,,"Teamsters Local 251, 121 Brightridge Avenue, East Providence, RI 02914",,,
Rhode Island,"Los Angeles Times Communications, LLC",Statewide,,2024-01-25 00:00:00,1.0,,,Rhode Island,2024-01-25,Layoff,,,,,
