state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
South Carolina,The Boeing Company,North Charleston,2/15/2025,4/4/2025 - 4/18/2025,8,Permanent Layoff,Charleston
South Carolina,Yokohama TWS North America,Spartanburg,2/18/2025,4/19/2025,90,Permanent Closure,Spartanburg
South Carolina,ASRC Federal,North Charleston,2/27/2025,7/31/2025,292,Permanent Layoff,Charleston
South Carolina,Tupperware,Hemingway,3/4/2025,4/4/2025 - 6/13/2025,102,Permanent Closure,Williamsburg
South Carolina,Proterra Powered LLC,Greer,3/6/2025,3/6/2025,85,Permanent Layoff,Greenville
South Carolina,Proterra Powered LLC,Greer,3/10/2025,3/10/2025,7,Permanent Layoff,Greenville
South Carolina,MetoKote Corporation,Greenville,4/1/2025,6/1/2025,113,Permanent Closure,Greenville
South Carolina,Hood Container,Simpsonville,4/15/2025,6/15/2025,60,Permanent Closure,Greenville
South Carolina,Limestone University,Gaffney,4/17/2025,4/30/2025,478,Permanent Closure,Cherokee
South Carolina,"Ron Group, LLC (dba Blue Sky Specialty Pharmacy)",Mt. Pleasant,5/6/2025,6/19/2025 - 7/3/2025,125,Permanent Layoff,Charleston
South Carolina,Bicycle Corporation of America (Kent),Manning,5/9/2025,6/25/2025,64,Permanent Closure,Clarendon
South Carolina,"Compass Group USA, Inc. (dba Chartwells)",Spartanburg,5/14/2025,6/30/2025,350,Permanent Layoff,Spartanburg
South Carolina,DAV-Force Inc.,Goose Creek,5/21/2025,8/1/2025 - 10/1/2025,76,Permanent Layoff,Berkeley
South Carolina,Sodexo,Summerville,5/21/2025,6/30/2025 - 7/3/2025,210,Permanent Layoff,Dorchester
South Carolina,"CACI, Inc.",Sumter,6/2/2025,7/31/2025,109,Permanent Layoff,Sumter
South Carolina,CEF Solutions Inc.,NJ 07024,6/11/2025,8/31/2025,108,Permanent Layoff,Greenville
South Carolina,"NSLC Darlington, Inc. (dba Canfor Southern Pine)",Darlington,6/26/2025,8/25/2025,120,Permanent Closure,Darlington
South Carolina,"Elliott Sawmilling Co., LLC (dba Canfor Southern Pine)",Estill,6/26/2025,8/25/2025,170,Permanent Closure,Hampton
South Carolina,"IG Design Group Americas, Inc.",Batesburg-Leesville,6/26/2025,8/26/2025,112,Permanent Closure,Lexington
South Carolina,Quality Built,FL 33301,7/7/2025,7/3/2025,3,Permanent Closure,Statewide - Mul
South Carolina,"Sodexo, Inc. and Affiliates",Rock Hill,7/11/2025,7/31/2025,177,Permanent Layoff,York
South Carolina,Cooperative Health,Columbia,7/14/2025,9/12/2025,80,Permanent Layoff,Richland
South Carolina,KIRA Services,Beaufort,7/15/2025,8/11/2025,11,Permanent Layoff,Beaufort
South Carolina,"WeDriveU, Inc.",North Charleston,7/29/2025,10/1/2025,215,Permanent Closure,Charleston
South Carolina,Anchor Bar of Myrtle Beach,6401 N. Kings Highway Myrtle Beach,8/18/2025,8/31/2025,29,Permanent Closure,Horry
South Carolina,"IG Design Group Americas, Inc.",Batesburg-Leesville,8/21/2025,10/10/2025 - 10/24/2025,1,Permanent Closure,Lexington
South Carolina,East Coast Migrant Head Start Project,NC 27612,10/17/2025,11/1/2025,9,Temporary Layoff,Statewide - Mul
South Carolina,Santee Print Works,Sumter,10/20/2025,1/30/2026,140,Permanent Closure,Sumter
South Carolina,Atkore Plastics Southeast,Fort Mill,11/6/2025,1/6/2026 - 9/30/2026,42,Permanent Layoff,York
South Carolina,Sodexo (HCA Grand Strand Medical),Myrtle Beach,11/10/2025,1/31/2026,85,Permanent Layoff,Horry
South Carolina,"Best Dressed Chicken, Inc.",Ward,11/21/2025,1/20/2026,4,Permanent Layoff,Saluda
South Carolina,House of Raeford,Nesmith,12/1/2025,11/14/2025,216,Temporary Layoff,Williamsburg
South Carolina,"SC Industrial Holdings, LLC",West Columbia,12/1/2025,1/30/2026,78,Temporary Closure,Lexington
South Carolina,Railcrew Xpress,MO 64116,12/22/2025,2/27/2026,58,Permanent Closure,Statewide - Mul
South Carolina,"WeDriveU, Inc.",North Charleston,12/28/2025,2/28/2026,194,Permanent Closure,Charleston
South Carolina,Saddle Creek Logistics Services,Duncan,1/2/2026,3/5/2026,130,Permanent Layoff,Spartanburg
South Carolina,SMBC MANUBANK (JeniusBank),NY 10172,1/8/2026,3/10/2026,3,Permanent Layoff,Statewide - Mul
South Carolina,"eREV Supply Chain, LLC",Charleston,1/14/2026,2/28/2026,133,Permanent Layoff,Charleston
South Carolina,DLH Solutions,Charleston,1/15/2026,2/28/2026,194,Permanent Layoff,Charleston
South Carolina,James Hardie Building Products Inc.,Summerville,1/15/2026,3/16/2026,78,Permanent Closure,Dorchester
South Carolina,Milliken (Cedar Hill Plant),Jonesville,2/11/2026,4/17/2026,126,Permanent Closure,Union
