state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
Tennessee,Regional One Extended Care Hospital,Shelby,7/7/2026,9-1-2026,103,#202600001,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Regional-One-Health.pdf
Tennessee,Stanley Black & Decker,Sumner,6/24/2026,8-28-2026/ 10-30-2026/ 12/31-2026,116,#202500067,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Stanley-Black-Decker.pdf
Tennessee,Hard Rock Cafe,Sevier,6/22/2026,8-23-2026,61,#202500065,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Hard-Rock-Cafe.pdf
Tennessee,YesCare Corp.,Williamson,6/17/2026,"6-22-2026 to 7-6-2026, 7-15-2026 / 8-31-2026",150,#202500064,https://www.tn.gov/content/dam/tn/workforce/documents/warn/YesCare-Corp.pdf
Tennessee,Smurfit Westrock,Wilson,6/17/2026,8-14-2026,52,#202500063,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Smurfit-Westrock.pdf
Tennessee,JBS USA Food Company,Shelby,6/17/2026,8-14-2026,208,#202500061,https://www.tn.gov/content/dam/tn/workforce/documents/warn/JBS-USA-Food.pdf
Tennessee,Pilgrim's Pride Corporation,Hamilton,6/16/2026,9-25-2026,315,#202500060,https://www.tn.gov/content/dam/tn/workforce/documents/warn/PilgrimsPrideCorporationTDLWDWARNLETTER.pdf
Tennessee,"CACI, Inc.",Shelby,6/15/2026,8-1-2026,75,#202500059,https://www.tn.gov/content/dam/tn/workforce/documents/warn/CACI.pdf
Tennessee,WK Kellogg Co,Shelby,6/8/2026,8-7-2026 to 8-21-2026 / 9-18-2026 to 10-2-2026,117,#202500058,https://www.tn.gov/content/dam/tn/workforce/documents/warn/WK-Kellogg-Co.pdf
Tennessee,"Shimmick Construction Company, Inc.",Hamilton,5/26/2026,5-12-2026 to 6-5-2026,183,#202500057,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Shimmick-Construction.pdf
Tennessee,Dura-Shiloh,Dickson,5/26/2026,7-18-2026,69,#202500056,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Dura-Shiloh.pdf
Tennessee,Tsubaki Nakashima,Unicoi,5/14/2026,7-31-2026 through 12-18-2026,110,#202500055,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Tsubaki-Nakashima.pdf
Tennessee,"Greenbean Ventures, LLC",Washington,5/14/2026,7-13-2026,121,#202500054,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Greenbean-Ventures.pdf
Tennessee,"The Brand House Collective, Inc.",Williamson,5/5/2026,7-4-2026 / 9-30-2026,88,#202500053,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Brand-House-Collective.pdf
Tennessee,Fayette County Public Schools,Fayette,5/4/2026,6-30-2026,75,#202500052,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Fayette-County-Public-Schools.pdf
Tennessee,Yanfeng International Automotive Technology US I LLC,Hamilton,4/29/2026,6-29-2026,153,#202500051,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Yanfeng-International-Automotive-Technology.pdf
Tennessee,Adient,McMinn,4/21/2026,6-30-2026,210,#202500050,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Adient.pdf
Tennessee,"T-Mobile USA, Inc.",Hamilton,4/16/2026,6-8-2026,200,#202500049,https://www.tn.gov/content/dam/tn/workforce/documents/warn/T-Mobile-USA-Inc.pdf
Tennessee,Pave It Forward Logistics,Rutherford,4/15/2026,3-31-2026,100,#202500048,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Pave-It-Forward-Logistics.pdf
Tennessee,Legacy Supply Chain,McNairy,4/10/2026,6-6-2026,4,#202500047,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Legacy-Supply-Chain.pdf
Tennessee,Durham School Services,Warren,4/10/2026,6-6-2026,79,#202500046,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Durham-School-Services.pdf
Tennessee,Titan International,Madison,3/24/2026,5-18-2026,153,#202500043,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Titan-International.pdf
Tennessee,Blount Memorial Hospital,Blount,3/24/2026,5-1-2026,85,#202500042,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Blount-Memorial-Hospital.pdf
Tennessee,BlueOval SK,Haywood,3/23/2026,5-6-2026,150,#202500041,https://www.tn.gov/content/dam/tn/workforce/documents/warn/BlueOval-SK.pdf
Tennessee,All Heart Pediatric Cardiology,Hamilton,3/5/2026,3-6-2026,1,#202500040,https://www.tn.gov/content/dam/tn/workforce/documents/warn/All-Heart-Pediatric-Cardiology.pdf
Tennessee,IKEA Memphis,Shelby,3/5/2026,5-9-2026 / 8-8-2026 to 8-31-2026,114,#202500039,https://www.tn.gov/content/dam/tn/workforce/documents/warn/IKEA-Memphis.pdf
Tennessee,"First Brands Group, LLC",Lincoln,3/4/2026,4-30-2026,333,#202500038,https://www.tn.gov/content/dam/tn/workforce/documents/warn/First-Brands-Group.pdf
Tennessee,"PMC Biogenix, Inc.",Shelby,3/3/2026,4-26-2026,172,#202500037,https://www.tn.gov/content/dam/tn/workforce/documents/warn/PMC-Biogenix.pdf
Tennessee,"McKay Books, Inc.",Knox,3/2/2026,5-3-2026,54,#202500036,https://www.tn.gov/content/dam/tn/workforce/documents/warn/McKay-Books.pdf
Tennessee,Pace Industries,Madison,2/26/2026,4-26-2026,59,#202500035,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Pace-Industries.pdf
Tennessee,GXO,Shelby,2/19/2026,4/3/2026 - 5/31/2026,185,#202500034,https://www.tn.gov/content/dam/tn/workforce/documents/warn/GXO.pdf
Tennessee,Liberty Dental Plan,Bradley,2/19/2026,4/6/2026,1,#202500033,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Liberty-Dental-Plan.pdf
