state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
Utah,Point Designs,Bountiful,10/30/26,,8,,
Utah,Milestone Technologies Inc.,Eagle Mountain,04/29/26,,50,,
Utah,"Bright Planet Solar, Inc.",Provo,04/24/26,,60,,
Utah,"ProFrac Services, LLC",Vernal,03/27/26,,157,,
Utah,Genpak,Cedar City,03/25/26,,200,,
Utah,Crimson Heights,"St. George, Cedar City, Spanish Fork",03/23/26,,15,,
Utah,Nordstrom Card Services,State of Utah,02/21/26,,15,,
Utah,Sheraton,Salt Lake City,02/15/26,,100,,
Utah,Sumaria Systems Inc.,Ogden,01/13/26,,59,,
Utah,SMBC Manubank,Sandy,01/08/26,,1,,
Utah,De La Rue Authentication Solutions inc.,Utah,12/05/25,,50,,
Utah,"Insurance Office of America, Inc.",State of Utah,12/02/25,,11,,
Utah,Actavis Laboratories,Salt Lake City,11/18/25,,205,,
Utah,Revere Health,Provo,11/03/25,,177,,
Utah,Vector Defense,Draper and Bluffdale,10/30/25,,54,,
Utah,Owens Corning,Nephi,10/27/25,,67,,
Utah,Red Mountain Resort,Ivans,09/29/25,,97,,
Utah,Sundance Holdings,Salt Lake City,09/21/25,,63,,
Utah,Mau Workforce Solutions,Ogden,08/18/25,,74,,
Utah,Teva Pharmaceuticals,Salt Lake City,06/20/25,,54,,
Utah,U.S. Gypsum,Sigurd,06/16/25,,55,,
Utah,Clearfield Job Corps,Clearfield,06/2/25,,370,,
Utah,American Crafts,Orem,04/25/25,,92,,
Utah,Actavis Laboratories,Salt Lake City,04/18/25,,78,,
Utah,Athena Services International,Statewide,03/15/25,,170,,
Utah,Boostability,Lehi,03/14/25,,57,,
Utah,"Vimo, Inc",Logan (nationwide),02/19/25,,430,,
Utah,CompTia,Lehi,01/09/25,,42,,
Utah,Straight Smile,Lehi,01/06/25,,166,,
