state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
West Virginia,ECM Energy Services,,08/01/2026,,,,https://workforcewv.org/wp-content/uploads/2026/08/ECM-Energy-Services-WARN-8-19-26.pdf
West Virginia,Eagle Horizon Resources,,08/01/2026,,,,https://workforcewv.org/wp-content/uploads/2026/08/Eagle-Horizon-Resources-WARN-08-2026.pdf
West Virginia,WARN Notice Workforce July 2026 revisedsigned,,07/01/2026,,,,https://workforcewv.org/wp-content/uploads/2026/07/WARN-Notice-Workforce-July-2026-revisedsigned.pdf
West Virginia,WARN Notice State West Virginia Conduent,,07/01/2026,,,,https://workforcewv.org/wp-content/uploads/2026/07/WARN-Notice-State-West-Virginia-Conduent.pdf
West Virginia,JeniusBank,,06/01/2026,,,,https://workforcewv.org/wp-content/uploads/2026/06/JeniusBank-WARN-6-4-26.pdf
West Virginia,Greenbrier Minerals July WARN,,06/01/2026,,,,https://workforcewv.org/wp-content/uploads/2026/06/Greenbrier-Minerals-July-WARN.pdf
West Virginia,Mettiki Supplemental,,04/01/2026,,,,https://workforcewv.org/wp-content/uploads/2026/04/Mettiki_Supplemental_WARN_State_Notice_04_1_2026.pdf
West Virginia,Greenbrier Minerals,,02/01/2026,,,,https://workforcewv.org/wp-content/uploads/2026/02/Greenbrier-Minerals-WARN-2-13-26.pdf
West Virginia,Mettitki Coal,,01/01/2026,,,,https://workforcewv.org/wp-content/uploads/2026/01/Mettitki-Coal-WARN-1-29-26.pdf
West Virginia,WV,,01/01/2025,,,,https://workforcewv.org/wp-content/uploads/2025/01/WV-WARN-Notices-1-1-22-to-1-3-25.pdf
West Virginia,WVU Research Corporation,,08/01/2025,,,,https://workforcewv.org/wp-content/uploads/2025/08/WVU-Research-Corporation-WARN-8-21-25.pdf
West Virginia,Parkhurst Dining 6 24 25,,06/01/2025,,,,https://workforcewv.org/wp-content/uploads/2025/06/Parkhurst-Dining-6-24-25.pdf
West Virginia,Beckley Mechanic Shop r1,,06/01/2025,,,,https://workforcewv.org/wp-content/uploads/2025/06/Beckley-Mechanic-Shop-r1-WARN-6-4-25.pdf
West Virginia,CV2 Facility r1,,06/01/2025,,,,https://workforcewv.org/wp-content/uploads/2025/06/CV2-Facility-r1-WARN-6-4-25.pdf
West Virginia,CV2 Prep Plant r1,,06/01/2025,,,,https://workforcewv.org/wp-content/uploads/2025/06/CV2-Prep-Plant-r1-WARN-6-4-25.pdf
West Virginia,Delbarton Prep Plant r2,,06/01/2025,,,,https://workforcewv.org/wp-content/uploads/2025/06/Delbarton-Prep-Plant-r2-WARN-6-4-25.pdf
West Virginia,Eagle Energy r1,,06/01/2025,,,,https://workforcewv.org/wp-content/uploads/2025/06/Eagle-Energy-r1-WARN-6-4-25.pdf
West Virginia,Falcon Facility r2,,06/01/2025,,,,https://workforcewv.org/wp-content/uploads/2025/06/Falcon-Facility-r2-WARN-6-4-25.pdf
West Virginia,Page Loadout r1,,06/01/2025,,,,https://workforcewv.org/wp-content/uploads/2025/06/Page-Loadout-r1-WARN-6-4-25.pdf
West Virginia,Pine Creek Facility r2,,06/01/2025,,,,https://workforcewv.org/wp-content/uploads/2025/06/Pine-Creek-Facility-r2-WARN-6-4-25.pdf
West Virginia,Stella Facility r2,,06/01/2025,,,,https://workforcewv.org/wp-content/uploads/2025/06/Stella-Facility-r2-WARN-6-4-25.pdf
West Virginia,Management Training Corporations,,06/01/2025,,,,https://workforcewv.org/wp-content/uploads/2025/06/Management-Training-Corporations-WARN-6-3-25.pdf
West Virginia,Itmann Mining Company,,06/01/2025,,,,https://workforcewv.org/wp-content/uploads/2025/06/Itmann-Mining-Company-WARN-6-2-25.pdf
West Virginia,Sodexo,,05/01/2025,,,,https://workforcewv.org/wp-content/uploads/2025/05/Sodexo-WARN-5-12-25.pdf
West Virginia,Coalmac,,05/01/2025,,,,https://workforcewv.org/wp-content/uploads/2025/05/Coalmac-WARN-5-15-25.pdf
West Virginia,Greenbrier Minerals,,04/01/2025,,,,https://workforcewv.org/wp-content/uploads/2025/04/Greenbrier-Minerals-WARN-4-28-25.pdf
West Virginia,USCellular,,04/01/2025,,,,https://workforcewv.org/wp-content/uploads/2025/04/USCellular-WARN-3-26-25.pdf
West Virginia,Novelis Fairmont 3 31 25,,04/01/2025,,,,https://workforcewv.org/wp-content/uploads/2025/04/Novelis-Fairmont-3-31-25.pdf
