state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,PK,FK,PDF,WDA,HasUpdates
Wisconsin,"Genpact RW Services, Inc",Statewide-Remote Employees,20250109,3/10/2025,54,WR,Admin Management Consulting Services | Unknown,2025010901,0,2025010901,Unknown,
Wisconsin,SpartanNash,Chippewa Falls,20250115,3/16/2025,45,CL,Supermarkets & Other Grocery Stores | Chippewa,2025011501,0,2025011501,West Central,
Wisconsin,ORBIS Corporation,Menasha,20250115,3/16/2025,109,CL,All Other Plastics Product Mfg | Winnebago,2025011502,0,2025011502,Fox Valley,
Wisconsin,Air Wisconsin Airlines LLC,Milwaukee,20250130,3/31/2025,219,WR,Scheduled Passenger Air Transportation | Milwaukee,2025013001,0,2025013001,Milwaukee,
Wisconsin,Air Wisconsin Airlines LLC,Appleton,20250130,3/31/2025,284,WR,Scheduled Passenger Air Transportation | Outagamie,2025013002,0,2025013001,Bay Area,
Wisconsin,"Badger Truck and Automotive Group, Inc.",Milwaukee,20250203,4/4/2025,40,CL,Motor Vehicle Merch Whls | Milwaukee,2025020301,0,2025020301,Milwaukee,
Wisconsin,U-Line Corporation,Milwaukee,20250217,7/31/2025,71,CL,Major Household Appliance Manufacturing | Milwaukee,2025021701,0,2025021701,Milwaukee,
Wisconsin,Northlake Engineering,Bristol,20250227,5/30/2025,36,CL,Elect Coils Transformers & Inductors | Kenosha,2025022701,0,2025022701,Southeast,
Wisconsin,BH Security LLC,Milwaukee,20250317,6/30/2025,1,WR,Security Systems Services (except Locksmiths) | Milwaukee,2025031701,0,2025031701,Milwaukee,
Wisconsin,Oxbo International Corporation,Clear Lake,20250327,6/6/2025,68,CL,Farm Machinery and Equipment Manufacturing | Polk,2025032701,0,2025032701,West Central,
Wisconsin,"Concordia University, Inc.",Mequon,20250331,5/31/2025,5,WR,Colleges & Universities | Ozaukee,2025033101,0,2025033101,WOW,
Wisconsin,Northland College,Ashland,20250401,5/31/2025,112,CL,Colleges & Universities | Ashland,2025040101,0,2025040101,Northwest,
Wisconsin,UPS,Holmen,20250404,6/10/2025,42,CL,Couriers & Express Delivery Services | La Crosse,2025040401,0,2025040401,Western,
Wisconsin,Midwest Perishables Inc.,Madison,20250406,4/2/2025,50,CL,Meat & Meat Product Merch Whls | Dane,2025040601,0,2025040601,South Central,
Wisconsin,ProTec Dynatronix,Amery,20250408,4/28/2025,53,CL,Misc Elect Equip Mfg | Polk,2025040801,0,2025040801,West Central,
Wisconsin,Air Wisconsin Airlines LLC,Milwaukee,20250410,6/1/2025,11,WR,Scheduled Passenger Air Transportation | Milwaukee,2025041001,0,2025041001,Milwaukee,
Wisconsin,Air Wisconsin Airlines LLC,Appleton,20250410,6/1/2025,117,WR,Scheduled Passenger Air Transportation | Outagamie,2025041002,0,2025041001,Bay Area,
Wisconsin,"Accelerate360 Distribution, LLC (Dakota Merchandising Remote Work Unit)",Statewide-Remote Employees,20250425,6/28/2025,50,CL,Book & Periodical Merch Whls | Unknown,2025042501,0,2025042501,Unknown,
Wisconsin,Truvant North America,Prairie du Chien,20250515,7/15/2025,74,CL,Packaging & Labeling Services | Crawford,2025051501,0,2025051501,Western,
Wisconsin,Silgan Containers Manufacturing Corp,Oconomowoc,20250521,7/21/2025,56,CL,Metal Can Mfg | Waukesha,2025052101,0,2025052101,WOW,
Wisconsin,"McDonald Plastic Molding, Inc.",Poynette,20250528,6/27/2025,28,CL,All Other Plastics Product Manufacturing | Columbia,2025052801,0,2025052801,South Central,
Wisconsin,"Milwaukee Job Corps Center (Horizons Youth Services, LLC)",Milwaukee,20250603,6/6/2025,104,WR,Other Technical & Trade Schools | Milwaukee,2025060301,0,2025060301,Milwaukee,
Wisconsin,BRP US Inc.,Sturtevant,20250605,6/5/2025,61,WR,Other Engine Equip Mfg. | Racine,2025060501,0,2025060501,Southeast,
Wisconsin,"Discovery Energy, LLC d/b/a Rehlko",Saukville,20250611,8/8/2025,66,CL,Other Engine Equip Mfg | Ozaukee,2025061101,0,2025061101,WOW,
Wisconsin,HyPro Inc.,Berlin,20250617,8/15/2025,24,CL,Machine Shops | Green Lake,2025061701,0,2025061701,Fox Valley,
Wisconsin,Milwaukee Forge LLC,Milwaukee,20250618,8/18/2025,67,CL,Iron & Steel Forging | Milwaukee,2025061801,0,2025061801,Milwaukee,Y
Wisconsin,Nasco Education LLC,Fort Atkinson,20250623,8/22/2025,30,WR,Other Professional Equipment and Supplies Merchant Wholesalers | Jefferson,2025062301,0,2025062301,South Central,
Wisconsin,Quick Motors,Milwaukee,20250624,6/30/2025,16,CL,Used Car Dealers | Milwaukee,2025062401,0,2025062401,Milwaukee,
Wisconsin,"Wisconsin Physicians Service Insurance Corporation (""WPS"")",Madison,20250627,9/30/2025,51,WR,Direct Health &amp; Medical Insurance Carriers | Dane,2025062701,0,2025062701,South Central,
Wisconsin,StoneRidge Piggly Wiggly,Wautoma,20250709,9/15/2025,56,CL,Meat Markets | Waushara,2025070901,0,2025070901,Fox Valley,
Wisconsin,TouchPoint Services (aka Compass Group),Milwaukee,20250710,8/1/2025,52,CL,Food Service Contractors | Milwaukee,2025071001,0,2025071001,Milwaukee,
Wisconsin,CHS Inc,Superior,20250710,9/8/2025,25,CL,Farm Product Warehousing &amp; Storage | Douglas,2025071002,0,2025071002,Northwest,
Wisconsin,"United States Cellular Corporation<br/></a><a><em style=""font-size:80%; text-decoration:none !important; color:#000"">* DWD received this layoff notice after receiving the revision.</em>",Multiple,20250709,6/2/2025,,WR,Wireless Telecom Carriers (except Satellite) | Multiple,2025070902,0,2025070902,Multiple,
Wisconsin,Krueger's True Value,Neenah,20250724,10/14/2025,37,CL,Hardware Stores | Winnebago,2025072401,0,2025072401,Fox Valley,
Wisconsin,"Renewed Hope Home Care, LLC",Milwaukee,20250804,11/30/2025,50,CL,Services for the Elderly &amp; Disabled | Milwaukee,2025080401,0,2025080401,Milwaukee,
Wisconsin,"Equiniti Trust Company, LLC",Milwaukee,20250811,11/14/2025,4,WR,Securities Brokerage | Milwaukee,2025081102,0,2025081102,Milwaukee,
Wisconsin,ZeniMax Media Inc.,Madison,20250815,9/1/2025,39,WR,Software Publishers | Dane,2025081501,0,2025081501,South Central,
Wisconsin,"Saputo Cheese USA Inc<br/></a><a><em style=""font-size:80%; text-decoration:none !important; color:#000"">* Layoff start date differs from notice; employer clarified phased layoffs will run Nov–Dec 2025, with exact dates still TBD.</em>",Suamico,20250905,11/1/2025,240,CL,Cheese Mfg | Brown,2025090501,0,2025090501,Bay Area,
Wisconsin,Air Wisconsin Airlines LLC (ATW),Appleton,20250905,10/28/2025,127,WR,Scheduled Passenger Air Transportation | Outagamie,2025090502,0,2025090502,Bay Area,
Wisconsin,Air Wisconsin Airlines LLC (MKE Hangar),Milwaukee,20250905,10/28/2025,30,WR,Scheduled Passenger Air Transportation | Milwaukee,2025090503,0,2025090502,Milwaukee,
Wisconsin,Air Wisconsin Airlines LLC (MKE),Milwaukee,20250905,10/28/2025,84,WR,Scheduled Passenger Air Transportation | Milwaukee,2025090504,0,2025090502,Milwaukee,
Wisconsin,"Pregis Innovative Packaging, LLC",Germantown,20250910,4/30/2026,48,CL,Plastics Packaging Film and Sheet (including Laminated) Manufacturing | Washington,2025091001,0,2025091001,WOW,
Wisconsin,Sheridan Random Lake,Random Lake,20250923,11/21/2025,104,CL,Commercial Gravure Printing | Sheboygan,2025092301,0,2025092301,Bay Area,
Wisconsin,Action Printing (A JAL Equity Corp),Fond Du Lac,20250925,8/7/2025,44,CL,Newspaper Publishers | Fond du Lac,2025092501,0,2025092501,Fox Valley,
Wisconsin,"Wausau Equipment Company, LLC",New Berlin,20251008,12/7/2025,67,CL,Construction Machinery Mfg | Waukesha,2025100801,0,2025100801,WOW,Y
Wisconsin,"Xylem, Inc.",Waukesha,20251013,10/13/2025,40,WR,"Measuring, Dispensing & Oth Pumping Equip Mfg | Waukesha",2025101301,0,2025101301,WOW,
Wisconsin,The First Step Community Recovery Center,Milwaukee,20251024,12/31/2025,85,CL,Residential Mental & Substance Abuse Care | Milwaukee,2025102401,0,2025102401,Milwaukee,
Wisconsin,"Elior, Inc.",Oshkosh,20251103,5/17/2026,155,CL,Food Service Contractors | Winnebago,2025110301,0,2025110301,Fox Valley,
Wisconsin,"Daybreak Foods, Inc. (Cold Spring Farm)",Palmyra,20251105,11/7/2025,65,WR,Chicken Egg Production | Jefferson,2025110501,0,2025110501,South Central,
Wisconsin,"PrimeFlight Aviation Services, Inc.",Milwaukee,20251109,1/9/2026,27,CL,Other Airport Operations | Milwaukee,2025110901,0,2025110901,Milwaukee,
Wisconsin,Superior YMCA,Superior,20251113,12/31/2025,112,WR,Civic & Social Organizations | Douglas,2025111301,0,2025111301,Northwest,
Wisconsin,"Kroger Fulfillment Network, LLC",Pleasant Prairie,20251118,2/1/2026,211,CL,General Warehousing & Storage | Kenosha,2025111801,0,2025111801,Southeast,
Wisconsin,Nordstrom,,20251119,3/1/2026,1,WR,Credit Card Issuing,2025111901,0,2025111901,,
Wisconsin,Prince Corporation,Marshfield,20251219,2/19/2026,80,CL,General Freight Trucking Long Distance TL | Wood,2025121901,0,2025121901,North Central,
Wisconsin,"United Piston Ring, Inc.",Manitowoc,20260105,3/6/2026,60,CL,Motor Vehicle Gas Engine & Engine Parts Mfg | Manitowoc,2026010501,0,2026010501,Bay Area,
Wisconsin,"Lakeside Curative Services, Inc.",Racine,20260105,3/6/2026,52,WR,Vocational Rehabilitation Services | Racine,2026010502,0,2026010502,Southeast,
Wisconsin,"H4 Logistics, LLC",Kenosha,20260121,3/23/2026,41,CL,General Warehousing & Storage | Kenosha,2026012101,0,2026012101,Southeast,
Wisconsin,Tekni-Plex,Milwaukee,20260126,3/27/2026,39,CL,Other Paperboard Container Mfg | Milwaukee,2026012601,0,2026012601,Milwaukee,
Wisconsin,"Bank First, N.A.",Beloit,20260127,03/31/2026,47,CL,Commercial Banking | Rock,2026012701,0,2026012701,Southwest,
Wisconsin,Fresenius USA MFG INC,Kenosha,20260128,4/10/2026,41,WR,Medical Equip Merch Whls | Kenosha,2026012801,0,2026012801,Southeast,
Wisconsin,Associated Milk Producers Inc.,Blair,20260130,3/31/2026,86,WR,Cheese Mfg | Trempealeau,2026013001,0,2026013001,Western,
Wisconsin,Artisans Inc.,Glen Flora,20260204,3/31/2026,46,CL,Family Clothing Stores | Rusk,2026020401,0,2026020401,Northwest,
Wisconsin,SpartanNash,Chippewa Falls,20260210,4/11/2026,57,CL,Supermarkets & Other Grocery Stores | Chippewa,2026021001,0,2026021001,West Central,
Wisconsin,Cargill Meat Solutions Corp,Milwaukee,20260210,4/11/2026,221,CL,Meat Processed from Carcasses | Milwaukee,2026021002,0,2026021002,Milwaukee,
Wisconsin,"Main Street Sports Group, LLC",Brookfield,20260213,4/14/2026,2,CL,Television Broadcasting Stations | Waukesha,2026021301,0,2026021301,WOW,
Wisconsin,"TJ Hale<br/></a><a><em style=""font-size:80%; text-decoration:none !important; color:#000"">* The company attempted to submit a layoff notice to DWD on 02/05/26 but used an invalid email address. It sent another one on 02/25/26.</em>",Menomonee Falls,20260225,2/5/2026,64,CL,Showcases Partitions Shelving & Lockers | Waukesha,2026022501,0,2026022501,WOW,
Wisconsin,Ahlstrom Mosinee LLC,Mosinee,20260227,6/30/2026,,WR,Paper (except Newsprint) Mills | Marathon,2026022701,0,2026022701,North Central,
Wisconsin,Midwest Energy Resources Co.,Superior,20260303,6/30/2026,54,CL,Port & Harbor Operations | Douglas,2026030301,0,2026030301,Northwest,
Wisconsin,Cree Lighting,Racine,20260312,3/12/2026,172,WR,Residential Electric Lighting Fixture Manufacturing | Racine,2026031201,0,2026031201,Southeast,
Wisconsin,"United Natural Foods, Inc.",Sturtevant,20260316,6/20/2026,443,CL,General Line Grocery Merchant Wholesalers | Racine,2026031601,0,2026031601,Southeast,
Wisconsin,"Charter Communications, Inc.",Appleton,20260318,6/21/2026,313,CL,Wired Telecommunications Carriers | Calumet,2026031701,0,2026031701,Fox Valley,
Wisconsin,"Daybreak Foods, Inc.<br/></a><a><em style=""font-size:80%; text-decoration:none !important; color:#000"">* The company provided a separate communication with the breakdown of the number affected at each site.</em>",Palmyra,20260327,4/1/2026,55,WR,Chicken Egg Production | Jefferson,2026032701,0,2026032701,South Central,
Wisconsin,Wells Vehicle Electronics,Fond Du Lac,20260330,6/2/2026,100,CL,Other Motor Vehicle Elect Equip Mfg | Fond du Lac,2026033001,0,2026033001,Fox Valley,
Wisconsin,Regal Rexnord Corporation,Cudahy,20260401,6/30/2026,70,CL,Speed Changer Drive & Gear Mfg | Milwaukee,2026040101,0,2026040101,Milwaukee,
